domain,sup_ps,prior_l2_ps,prior_bnd_ps,cyc_sim_ps,knn_min,knn_mean_k,jac_sigma_max
sim,1.3865188360214231,0.4733865261077881,0.6542177200317383,0.3446495831012726,1.1727604866027832,1.2286152839660645,
sim,1.858629822731018,0.3506307899951935,0.6471741199493408,0.3389080762863159,0.958510398864746,1.0986213684082031,
sim,1.7033114433288574,0.533623218536377,0.6640497446060181,0.3358853459358215,1.1991478204727173,1.2730426788330078,
sim,1.5692590475082395,0.3364320695400238,0.647456169128418,0.3233716487884521,0.9741944074630736,1.0714030265808103,
sim,1.4822677373886108,0.3030852973461151,0.6460002660751343,0.3206184506416321,0.9658353924751282,1.0929996967315674,
sim,1.645232915878296,0.4201288819313049,0.6487855315208435,0.3160043954849243,1.038364052772522,1.1558825969696045,
sim,1.6080478429794312,0.4391251504421234,0.6492597460746765,0.3081552684307098,1.0685746669769287,1.1796241998672483,
sim,1.378596305847168,0.3880155086517334,0.6534949541091919,0.3048104643821716,0.8654674887657166,1.032243013381958,
sim,1.807353377342224,0.4352944195270538,0.6537784934043884,0.3036328256130218,1.0257843732833862,1.1416704654693604,
sim,1.247671365737915,0.2691290378570556,0.6427062749862671,0.3035995960235595,1.0458649396896362,1.1574941873550415,
sim,1.2173668146133425,0.3638528287410736,0.6470702886581421,0.303055465221405,0.9720160365104676,1.092418193817139,
sim,1.216772437095642,0.4358510971069336,0.6485426425933838,0.3003552854061126,1.0815443992614746,1.175274133682251,
sim,1.6727594137191772,0.3204520940780639,0.6440922021865845,0.2990895807743072,0.979970633983612,1.1608760356903076,
sim,0.9725226163864136,0.3055831789970398,0.6432734131813049,0.2984023094177246,1.1625391244888306,1.2605448961257937,
sim,1.4011754989624023,0.4267021715641022,0.648682713508606,0.297113299369812,1.0873452425003052,1.2012609243392944,
sim,0.8468151092529297,0.4267319142818451,0.6575051546096802,0.2968457639217376,1.1488972902297974,1.1955087184906006,
sim,1.426079511642456,0.4195080399513244,0.6479028463363647,0.2934964299201965,1.0674738883972168,1.169633865356445,
sim,1.0883251428604126,0.4189829528331756,0.6484165191650391,0.2927877306938171,1.067029356956482,1.1874639987945557,74.1321029663086
sim,1.0164724588394165,0.4222228527069092,0.6464406251907349,0.2861801981925964,1.0444074869155884,1.1692436933517456,
sim,1.042238473892212,0.3425513803958893,0.6465878486633301,0.2857912480831146,0.989826202392578,1.1090896129608154,
sim,1.5896987915039062,0.3577480316162109,0.6441375613212585,0.2850591838359833,0.9748495817184448,1.227348566055298,95.07489776611328
sim,1.6778714656829834,0.3655678331851959,0.6477278470993042,0.2842237949371338,1.0991429090499878,1.2630293369293213,
sim,1.445745825767517,0.3700988590717315,0.6451781988143921,0.2839692234992981,1.0064082145690918,1.1846284866333008,
sim,1.1598808765411377,0.4111911356449127,0.6473809480667114,0.2810944020748138,1.097725749015808,1.2004188299179075,
sim,1.2261751890182495,0.2945204675197601,0.6447997093200684,0.279738575220108,0.9760318398475648,1.097780466079712,
sim,1.368120193481445,0.3315920233726501,0.6447071433067322,0.2776229977607727,0.9599269032478333,1.2195658683776855,111.79650115966795
sim,1.526039481163025,0.363109827041626,0.6440114974975586,0.2761924564838409,1.1508805751800537,1.2968122959136963,
sim,1.062491774559021,0.3861701786518097,0.6454693078994751,0.2717689275741577,1.077601194381714,1.257148265838623,
sim,1.4629926681518557,0.3911910951137543,0.6471752524375916,0.2715987861156463,1.0017539262771606,1.1205668449401855,
sim,1.3407983779907229,0.4410212934017181,0.647563636302948,0.2685221433639526,1.0527470111846924,1.203354835510254,
sim,0.9163196086883544,0.4346896111965179,0.6592533588409424,0.2649368941783905,1.088171362876892,1.304208278656006,
sim,1.1226729154586792,0.3118343353271484,0.6489449739456177,0.2647290825843811,1.0273197889328003,1.0962516069412231,
sim,1.5005816221237185,0.2979079186916351,0.6419716477394104,0.264657199382782,1.0780246257781982,1.251399040222168,96.5426254272461
sim,1.0578557252883911,0.280378133058548,0.6415382623672485,0.2634664475917816,1.127539038658142,1.261011004447937,
sim,1.4404243230819702,0.4135582745075226,0.6556040048599243,0.2625599801540375,0.9013518691062928,1.2613234519958496,
sim,1.5366744995117188,0.4287399649620056,0.6465432643890381,0.2620195746421814,0.9823088049888612,1.249192714691162,
sim,1.826589584350586,0.4732134640216827,0.6483079195022583,0.2601058185100555,1.0973927974700928,1.2243218421936035,
sim,1.567051649093628,0.2750470042228699,0.6541723608970642,0.2561617195606231,0.7467547655105591,1.0988588333129885,
sim,1.4629106521606443,0.4374690651893616,0.6472076177597046,0.2535504400730133,0.9410541653633118,1.244260311126709,
sim,1.5044101476669312,0.4887419641017914,0.6485614776611328,0.2515918910503387,1.111082911491394,1.238281488418579,
