[log] tee initialized at 2025-12-02 15:56:16 -> temp_Unidi_cvae_14param_2channel\session_20251202-155616.log
Using CUDA device 0: NVIDIA GeForce RTX 4060 Laptop GPU
[log] tee initialized at 2025-12-02 15:56:22 -> temp_Unidi_cvae_14param_2channel\cvae_20251202-155622\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Unidi_cvae_14param_2channel/proxy_dual_bigger
[L_trust] using 20000 ref rows from temp_Unidi_cvae_14param_2channel/proxy_dual_bigger\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 012 | Train Total=30.0436 | Val post/prior Total=12.2135/11.8917, Recon post/prior=0.9265/0.8748, KL=2.0949, | CycSim post total/iv/gm=1.0236/0.4476/0.5760, | CycSim prior total/iv/gm=1.1011/0.4730/0.6281, | CycMeas total/iv/gm=0.5907/0.2232/0.3675, | train Physical Sim/Meas=0.0050/0.3484, | PriorBnd post/prior=3.16e-05/0.00e+00 | Best 0.6410 | Patience 4/100
[Update] best val_cyc_meas improved to 0.590723 @ epoch 12
 >> Epoch 013 | Train Total=31.1227 | Val post/prior Total=12.8579/11.5371, Recon post/prior=0.9222/0.8720, KL=1.9932, | CycSim post total/iv/gm=1.0936/0.4784/0.6151, | CycSim prior total/iv/gm=1.0655/0.4593/0.6063, | CycMeas total/iv/gm=0.9747/0.3984/0.5763, | train Physical Sim/Meas=0.0052/0.3639, | PriorBnd post/prior=2.71e-05/0.00e+00 | Best 0.5907 | Patience 1/100
 >> Epoch 014 | Train Total=26.5923 | Val post/prior Total=8.7653/7.6437, Recon post/prior=0.8819/0.8462, KL=1.8309, | CycSim post total/iv/gm=0.6964/0.2965/0.3999, | CycSim prior total/iv/gm=0.6792/0.2846/0.3945, | CycMeas total/iv/gm=0.3368/0.1650/0.1718, | train Physical Sim/Meas=0.0044/0.3701, | PriorBnd post/prior=2.55e-04/6.38e-06 | Best 0.5907 | Patience 2/100
[Update] best val_cyc_meas improved to 0.336816 @ epoch 14
 >> Epoch 015 | Train Total=10.7865 | Val post/prior Total=9.3482/8.0395, Recon post/prior=0.8722/0.8404, KL=1.4676, | CycSim post total/iv/gm=0.7738/0.3307/0.4431, | CycSim prior total/iv/gm=0.7192/0.3061/0.4132, | CycMeas total/iv/gm=0.3575/0.1659/0.1916, | train Physical Sim/Meas=0.0020/0.4101, | PriorBnd post/prior=2.35e-04/5.73e-05 | Best 0.3368 | Patience 1/100
 >> Epoch 016 | Train Total=9.2656 | Val post/prior Total=9.2288/8.1867, Recon post/prior=0.8684/0.8444, KL=1.2188, | CycSim post total/iv/gm=0.7747/0.3326/0.4421, | CycSim prior total/iv/gm=0.7334/0.3148/0.4186, | CycMeas total/iv/gm=0.4244/0.1943/0.2301, | train Physical Sim/Meas=0.0018/0.4365, | PriorBnd post/prior=2.08e-04/1.00e-04 | Best 0.3368 | Patience 2/100
 >> Epoch 017 | Train Total=8.4765 | Val post/prior Total=8.1646/7.2799, Recon post/prior=0.8744/0.8529, KL=1.0606, | CycSim post total/iv/gm=0.6755/0.2892/0.3863, | CycSim prior total/iv/gm=0.6418/0.2759/0.3659, | CycMeas total/iv/gm=0.4509/0.2075/0.2434, | train Physical Sim/Meas=0.0017/0.4475, | PriorBnd post/prior=4.33e-04/3.24e-04 | Best 0.3368 | Patience 3/100
 >> Epoch 018 | Train Total=7.9642 | Val post/prior Total=9.3805/8.7078, Recon post/prior=0.8809/0.8627, KL=0.9552, | CycSim post total/iv/gm=0.8017/0.3453/0.4564, | CycSim prior total/iv/gm=0.7835/0.3401/0.4435, | CycMeas total/iv/gm=0.4198/0.1904/0.2293, | train Physical Sim/Meas=0.0016/0.4674, | PriorBnd post/prior=3.14e-04/2.71e-04 | Best 0.3368 | Patience 4/100
 >> Epoch 019 | Train Total=7.6382 | Val post/prior Total=9.1574/8.3572, Recon post/prior=0.8838/0.8675, KL=0.9977, | CycSim post total/iv/gm=0.7769/0.3355/0.4414, | CycSim prior total/iv/gm=0.7480/0.3247/0.4233, | CycMeas total/iv/gm=0.3521/0.1568/0.1953, | train Physical Sim/Meas=0.0016/0.4631, | PriorBnd post/prior=1.73e-04/1.59e-04 | Best 0.3368 | Patience 5/100
