domain,sup_ps,prior_l2_ps,prior_bnd_ps,cyc_sim_ps,knn_min,knn_mean_k,jac_sigma_max,proxy_floor_ps
sim,0.936875820159912,0.6820339560508728,0.0,0.1783884912729263,0.733593761920929,1.215104579925537,,0.0299656614661216
sim,0.6789342164993286,0.8860992193222046,0.0,0.1601620316505432,1.230159878730774,1.3711620569229126,,0.034343771636486
sim,0.8828791379928589,0.6486239433288574,0.0,0.1575395315885543,1.133020043373108,1.5294785499572754,,0.0356510654091835
sim,1.0442438125610352,0.9171942472457886,0.0,0.1525423973798751,1.0959454774856567,1.369736909866333,,0.0477058552205562
sim,1.1031792163848877,0.6950214505195618,0.0,0.152190551161766,1.1145802736282349,1.4151811599731443,,0.0452071130275726
sim,0.7373025417327881,0.7553842663764954,0.0,0.1506992578506469,1.0108875036239624,1.3669692277908323,,0.0325473807752132
sim,0.945542812347412,0.7457505464553833,0.0,0.1409544795751571,1.1876401901245115,1.40823233127594,,0.0508803986012935
sim,1.0756912231445312,0.7243048548698425,0.0,0.1387404650449752,0.8387577533721924,1.282664775848389,,0.0304209683090448
sim,0.6871713399887085,0.5244470834732056,0.0,0.1375571340322494,1.2019453048706057,1.4501631259918213,,0.0282209813594818
sim,0.7289778590202332,0.7342443466186523,0.0,0.1344708204269409,1.100161075592041,1.3859550952911377,,0.0328206866979599
sim,0.5623723864555359,0.5100257396697998,0.0,0.132190927863121,1.1275041103363037,1.3141154050827026,,0.0333889760076999
sim,0.9145820140838624,0.7158507704734802,0.0,0.1285234689712524,0.6327816247940063,1.2767159938812256,,0.0418330766260623
sim,0.8564823865890503,0.5433153510093689,0.0,0.1233235672116279,1.0033313035964966,1.300799012184143,,0.0165279991924762
sim,1.0120766162872314,0.7177800536155701,0.0,0.1230435892939567,0.7261173725128174,1.2800395488739014,,0.0334542877972126
sim,0.790489912033081,0.6060401201248169,0.0,0.1199317723512649,1.0458462238311768,1.3059319257736206,,0.0205951668322086
sim,0.9440858364105223,0.3406998217105865,0.0,0.118925042450428,1.1707037687301636,1.408789873123169,,0.0221837200224399
sim,1.2070215940475464,0.6282331347465515,0.0,0.1177776902914047,0.8706182241439819,1.3253908157348633,,0.030691958963871
sim,0.9263959527015686,0.6229734420776367,0.0,0.1170811280608177,1.1916823387145996,1.3713878393173218,,0.0293655786663293
sim,0.5824220180511475,0.7921878099441528,0.0,0.1157696023583412,0.9067965149879456,1.3509913682937622,,0.0481926314532756
sim,0.944564700126648,0.5629630088806152,0.0,0.1151366904377937,1.1304850578308103,1.3558661937713623,,0.0316676087677478
sim,0.392951101064682,0.4569194614887237,0.0,0.1136660650372505,1.3556030988693235,1.4972846508026123,,0.0219955127686262
sim,0.8747403025627136,0.4935687482357025,0.0,0.1108550801873207,1.084902048110962,1.3216876983642578,,0.024443307891488
sim,0.8881030678749084,0.8130607008934021,0.0,0.1107570007443428,1.1176996231079102,1.4165825843811035,,0.0459438264369964
sim,0.8326209783554077,0.7200077772140503,0.0,0.1082227677106857,1.191142439842224,1.4560115337371826,,0.0363788679242134
sim,0.9991256594657898,0.6391077637672424,0.0,0.1081034541130065,1.142756700515747,1.3677823543548584,,0.052190002053976
sim,0.8510761260986328,0.7752267718315125,0.0,0.1079081818461418,1.0173403024673462,1.2557119131088257,,0.0306439958512783
sim,0.938405990600586,0.4824531078338623,0.0,0.1079033464193344,1.2011969089508057,1.4030810594558716,,0.0292080845683813
sim,0.776637613773346,0.9278951287269592,0.0,0.1067071855068206,1.0284645557403564,1.29826819896698,,0.0509898550808429
meas,,1.0256000757217407,0.0,0.1063576191663742,1.072143793106079,1.3155100345611572,,0.0096655935049057
sim,0.8766928911209106,0.4343526363372803,0.0,0.1063015833497047,1.2770545482635498,1.4822736978530884,,0.0241494067013263
sim,1.1586230993270874,0.684598982334137,0.0,0.1057795286178588,1.1150509119033811,1.3164772987365725,,0.0362973362207412
sim,1.195506930351257,0.6585598587989807,0.0,0.1057523190975189,0.8139834403991699,1.248349905014038,,0.0175241660326719
sim,0.7904629707336426,0.7697965502738953,0.0,0.1048352792859077,0.9120806455612184,1.2959115505218506,,0.027652945369482
sim,0.826931893825531,0.7817034721374512,0.0,0.1027927249670028,0.9224396347999572,1.3069642782211304,,0.032293826341629
sim,0.6546542644500732,0.7931416630744934,0.0,0.1013246327638626,0.9742712378501892,1.319979190826416,,0.0320767201483249
sim,1.3517687320709229,0.394432932138443,0.0,0.1003091782331466,1.108961820602417,1.335672378540039,,0.0251026637852191
sim,0.8686816096305847,0.3847360610961914,0.0,0.0993269830942154,1.2490757703781128,1.5094844102859497,,0.0176075883209705
sim,0.6766907572746277,0.6835706830024719,0.0,0.0986137241125106,0.955166518688202,1.2259202003479004,,0.0531525164842605
sim,0.6700204610824585,0.4983667135238647,0.0,0.0975062772631645,1.0908493995666504,1.296361207962036,,0.0220609921962022
sim,0.6302434802055359,0.9817789793014526,0.0,0.0973087549209594,1.2249866724014282,1.5050561428070068,,0.0605989173054695
sim,0.7723464965820312,0.935653030872345,0.0,0.0968266874551773,0.9837281107902528,1.3032286167144775,,0.0456551797688007
sim,0.9543516039848328,0.9446709752082824,0.0,0.0963191464543342,0.940275013446808,1.2974624633789062,,0.034053910523653
sim,0.9242732524871826,0.8262755870819092,0.0,0.0946539938449859,1.1574214696884155,1.2467091083526611,,0.0299976877868175
sim,1.2147074937820437,0.2703568935394287,0.0,0.0942834839224815,1.0554143190383911,1.455034613609314,,0.0345558673143386
sim,0.6848304867744446,0.9327155947685242,0.0,0.0941862314939498,0.8017613887786865,1.358187913894653,,0.0344267301261425
