[log] tee initialized at 2025-11-28 13:11:46 -> temp_Unidi_cvae_14param_2channel\cvae_20251128-131146\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Unidi_cvae_14param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Unidi_cvae_14param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 001 | Train Total=13.2276 | Val post/prior Total=16.6705/15.4841, Recon post/prior=0.8991/0.8851, KL=2.6164, | CycSim post total/iv/gm=1.4459/0.8899/0.5560, | CycSim prior total/iv/gm=1.4595/0.8979/0.5616, | CycMeas total/iv/gm=0.3657/0.2434/0.1224, | PriorBnd post/prior=2.52e-04/8.76e-05 | Best inf | Patience 1/80
[Update] best val_cyc_meas improved to 0.365749 @ epoch 1
 >> Epoch 002 | Train Total=6.3061 | Val post/prior Total=16.6226/15.8813, Recon post/prior=0.9064/0.9007, KL=1.4101, | CycSim post total/iv/gm=1.5006/0.9202/0.5804, | CycSim prior total/iv/gm=1.4975/0.9185/0.5790, | CycMeas total/iv/gm=0.3218/0.2108/0.1109, | PriorBnd post/prior=1.26e-04/1.67e-05 | Best 0.3657 | Patience 1/80
[Update] best val_cyc_meas improved to 0.321752 @ epoch 2
 >> Epoch 003 | Train Total=5.4573 | Val post/prior Total=15.8958/15.0815, Recon post/prior=0.9114/0.9105, KL=1.1535, | CycSim post total/iv/gm=1.4402/0.8833/0.5569, | CycSim prior total/iv/gm=1.4165/0.8693/0.5472, | CycMeas total/iv/gm=0.2584/0.1551/0.1033, | PriorBnd post/prior=1.61e-04/6.18e-05 | Best 0.3218 | Patience 1/80
[Update] best val_cyc_meas improved to 0.258409 @ epoch 3
 >> Epoch 004 | Train Total=5.1009 | Val post/prior Total=14.3901/13.5885, Recon post/prior=0.8983/0.8967, KL=1.0599, | CycSim post total/iv/gm=1.2956/0.7858/0.5098, | CycSim prior total/iv/gm=1.2685/0.7689/0.4997, | CycMeas total/iv/gm=0.3820/0.2328/0.1492, | PriorBnd post/prior=5.71e-05/2.36e-05 | Best 0.2584 | Patience 1/80
 >> Epoch 005 | Train Total=4.8345 | Val post/prior Total=16.8320/15.9305, Recon post/prior=0.9088/0.9137, KL=1.5336, | CycSim post total/iv/gm=1.5150/0.9212/0.5939, | CycSim prior total/iv/gm=1.5009/0.9121/0.5888, | CycMeas total/iv/gm=0.4780/0.2955/0.1825, | PriorBnd post/prior=2.58e-04/2.60e-04 | Best 0.2584 | Patience 2/80
 >> Epoch 006 | Train Total=4.7044 | Val post/prior Total=12.7548/11.8719, Recon post/prior=0.8970/0.9007, KL=1.3123, | CycSim post total/iv/gm=1.1196/0.6786/0.4410, | CycSim prior total/iv/gm=1.0963/0.6640/0.4323, | CycMeas total/iv/gm=0.4849/0.3021/0.1827, | PriorBnd post/prior=1.90e-04/1.62e-04 | Best 0.2584 | Patience 3/80
 >> Epoch 007 | Train Total=4.5086 | Val post/prior Total=14.1812/13.2360, Recon post/prior=0.8899/0.8936, KL=1.3071, | CycSim post total/iv/gm=1.2632/0.7632/0.5000, | CycSim prior total/iv/gm=1.2335/0.7449/0.4886, | CycMeas total/iv/gm=0.3825/0.2308/0.1517, | PriorBnd post/prior=1.09e-04/6.24e-05 | Best 0.2584 | Patience 4/80
 >> Epoch 008 | Train Total=4.4576 | Val post/prior Total=14.0076/13.1432, Recon post/prior=0.8855/0.8893, KL=1.1794, | CycSim post total/iv/gm=1.2527/0.7617/0.4910, | CycSim prior total/iv/gm=1.2245/0.7448/0.4797, | CycMeas total/iv/gm=0.5645/0.3514/0.2131, | PriorBnd post/prior=1.07e-04/1.19e-04 | Best 0.2584 | Patience 5/80
