[log] tee initialized at 2025-11-05 01:28:55 -> temp_Bidi_cvae\cvae_20251105-012855\train.log
[L_trust] using 20000 ref rows from temp_Bidi_cvae\proxy\proxy_Ytr_norm.npy
 >> Epoch 021 | Train Total=0.3237 | Val post/prior Total=0.7958/0.8296, Recon post/prior=0.6861/0.6806, KL=0.0961, CycSim post/prior=0.0789/0.0511, CycMeas=0.1057, PriorBnd post/prior=8.26e-04/5.55e-05 | Best 0.0986 | Patience 1/40
 >> Epoch 022 | Train Total=0.3227 | Val post/prior Total=0.7891/0.8289, Recon post/prior=0.6853/0.6811, KL=0.0452, CycSim post/prior=0.0798/0.0545, CycMeas=0.0992, PriorBnd post/prior=5.33e-04/7.77e-05 | Best 0.0986 | Patience 2/40
 >> Epoch 023 | Train Total=0.3222 | Val post/prior Total=0.7920/0.8377, Recon post/prior=0.6837/0.6793, KL=0.0530, CycSim post/prior=0.0827/0.0561, CycMeas=0.1101, PriorBnd post/prior=5.26e-04/5.99e-05 | Best 0.0986 | Patience 3/40
 >> Epoch 024 | Train Total=0.3213 | Val post/prior Total=0.7854/0.8318, Recon post/prior=0.6822/0.6787, KL=0.0347, CycSim post/prior=0.0805/0.0556, CycMeas=0.1043, PriorBnd post/prior=3.60e-04/6.04e-05 | Best 0.0986 | Patience 4/40
 >> Epoch 025 | Train Total=0.3209 | Val post/prior Total=0.7876/0.8255, Recon post/prior=0.6809/0.6762, KL=0.0540, CycSim post/prior=0.0811/0.0532, CycMeas=0.1029, PriorBnd post/prior=5.52e-04/6.60e-05 | Best 0.0986 | Patience 5/40
 >> Epoch 026 | Train Total=0.3210 | Val post/prior Total=0.7780/0.8140, Recon post/prior=0.6774/0.6724, KL=0.0567, CycSim post/prior=0.0753/0.0479, CycMeas=0.1012, PriorBnd post/prior=7.79e-04/6.51e-05 | Best 0.0986 | Patience 6/40
 >> Epoch 027 | Train Total=0.3213 | Val post/prior Total=0.7768/0.8280, Recon post/prior=0.6808/0.6781, KL=0.0332, CycSim post/prior=0.0747/0.0531, CycMeas=0.1040, PriorBnd post/prior=2.23e-04/6.20e-05 | Best 0.0986 | Patience 7/40
 >> Epoch 028 | Train Total=0.3209 | Val post/prior Total=0.7707/0.8022, Recon post/prior=0.6729/0.6668, KL=0.0438, CycSim post/prior=0.0729/0.0438, CycMeas=0.0994, PriorBnd post/prior=9.34e-04/6.74e-05 | Best 0.0986 | Patience 8/40
 >> Epoch 029 | Train Total=0.3218 | Val post/prior Total=0.7652/0.8028, Recon post/prior=0.6692/0.6650, KL=0.0377, CycSim post/prior=0.0741/0.0454, CycMeas=0.1000, PriorBnd post/prior=2.99e-04/5.52e-05 | Best 0.0986 | Patience 9/40
 >> Epoch 030 | Train Total=0.3200 | Val post/prior Total=0.7645/0.8025, Recon post/prior=0.6686/0.6634, KL=0.0417, CycSim post/prior=0.0730/0.0454, CycMeas=0.1017, PriorBnd post/prior=5.08e-04/7.17e-05 | Best 0.0986 | Patience 10/40
 >> Epoch 031 | Train Total=0.3203 | Val post/prior Total=0.7609/0.8021, Recon post/prior=0.6681/0.6633, KL=0.0348, CycSim post/prior=0.0709/0.0446, CycMeas=0.1025, PriorBnd post/prior=5.64e-04/5.71e-05 | Best 0.0986 | Patience 11/40
 >> Epoch 032 | Train Total=0.3188 | Val post/prior Total=0.7600/0.8042, Recon post/prior=0.6683/0.6646, KL=0.0333, CycSim post/prior=0.0709/0.0469, CycMeas=0.1001, PriorBnd post/prior=3.06e-04/5.61e-05 | Best 0.0986 | Patience 12/40
 >> Epoch 033 | Train Total=0.3194 | Val post/prior Total=0.7828/0.8393, Recon post/prior=0.6756/0.6732, KL=0.0480, CycSim post/prior=0.0828/0.0637, CycMeas=0.1081, PriorBnd post/prior=1.65e-04/6.80e-05 | Best 0.0986 | Patience 13/40
 >> Epoch 034 | Train Total=0.3193 | Val post/prior Total=0.7554/0.7940, Recon post/prior=0.6634/0.6585, KL=0.0323, CycSim post/prior=0.0709/0.0437, CycMeas=0.0996, PriorBnd post/prior=3.71e-04/6.69e-05 | Best 0.0986 | Patience 14/40
 >> Epoch 035 | Train Total=0.3210 | Val post/prior Total=0.7561/0.7944, Recon post/prior=0.6628/0.6576, KL=0.0312, CycSim post/prior=0.0718/0.0451, CycMeas=0.0991, PriorBnd post/prior=5.91e-04/6.62e-05 | Best 0.0986 | Patience 15/40
 >> Epoch 036 | Train Total=0.3205 | Val post/prior Total=0.7570/0.7999, Recon post/prior=0.6634/0.6583, KL=0.0310, CycSim post/prior=0.0718/0.0471, CycMeas=0.1021, PriorBnd post/prior=6.90e-04/6.60e-05 | Best 0.0986 | Patience 16/40
 >> Epoch 037 | Train Total=0.3205 | Val post/prior Total=0.7559/0.7976, Recon post/prior=0.6625/0.6579, KL=0.0309, CycSim post/prior=0.0720/0.0466, CycMeas=0.1005, PriorBnd post/prior=4.36e-04/7.87e-05 | Best 0.0986 | Patience 17/40
 >> Epoch 038 | Train Total=0.3210 | Val post/prior Total=0.7486/0.7897, Recon post/prior=0.6590/0.6550, KL=0.0290, CycSim post/prior=0.0694/0.0438, CycMeas=0.0983, PriorBnd post/prior=2.27e-04/7.05e-05 | Best 0.0986 | Patience 18/40
[Update] best val_cyc_meas improved to 0.098345 @ epoch 38
 >> Epoch 039 | Train Total=0.3207 | Val post/prior Total=0.7531/0.7955, Recon post/prior=0.6590/0.6538, KL=0.0305, CycSim post/prior=0.0726/0.0464, CycMeas=0.1033, PriorBnd post/prior=5.01e-04/7.27e-05 | Best 0.0983 | Patience 1/40
 >> Epoch 040 | Train Total=0.3204 | Val post/prior Total=0.7507/0.7972, Recon post/prior=0.6603/0.6569, KL=0.0259, CycSim post/prior=0.0703/0.0479, CycMeas=0.0993, PriorBnd post/prior=2.76e-04/6.07e-05 | Best 0.0983 | Patience 2/40
 >> Epoch 041 | Train Total=0.3215 | Val post/prior Total=0.7533/0.7924, Recon post/prior=0.6575/0.6527, KL=0.0284, CycSim post/prior=0.0744/0.0464, CycMeas=0.1008, PriorBnd post/prior=4.24e-04/6.75e-05 | Best 0.0983 | Patience 3/40
 >> Epoch 042 | Train Total=0.3207 | Val post/prior Total=0.7491/0.7965, Recon post/prior=0.6579/0.6536, KL=0.0265, CycSim post/prior=0.0708/0.0459, CycMeas=0.1056, PriorBnd post/prior=4.34e-04/7.49e-05 | Best 0.0983 | Patience 4/40
 >> Epoch 043 | Train Total=0.3216 | Val post/prior Total=0.7421/0.7909, Recon post/prior=0.6567/0.6530, KL=0.0249, CycSim post/prior=0.0660/0.0437, CycMeas=0.1026, PriorBnd post/prior=4.69e-04/5.97e-05 | Best 0.0983 | Patience 5/40
 >> Epoch 044 | Train Total=0.3231 | Val post/prior Total=0.7499/0.7987, Recon post/prior=0.6592/0.6561, KL=0.0231, CycSim post/prior=0.0711/0.0497, CycMeas=0.0996, PriorBnd post/prior=1.21e-04/5.30e-05 | Best 0.0983 | Patience 6/40
 >> Epoch 045 | Train Total=0.3218 | Val post/prior Total=0.7405/0.7827, Recon post/prior=0.6535/0.6495, KL=0.0263, CycSim post/prior=0.0674/0.0416, CycMeas=0.0996, PriorBnd post/prior=2.57e-04/7.07e-05 | Best 0.0983 | Patience 7/40
 >> Epoch 046 | Train Total=0.3234 | Val post/prior Total=0.7393/0.7858, Recon post/prior=0.6538/0.6497, KL=0.0251, CycSim post/prior=0.0661/0.0432, CycMeas=0.1009, PriorBnd post/prior=3.32e-04/6.02e-05 | Best 0.0983 | Patience 8/40
 >> Epoch 047 | Train Total=0.3219 | Val post/prior Total=0.7385/0.7823, Recon post/prior=0.6534/0.6490, KL=0.0251, CycSim post/prior=0.0656/0.0425, CycMeas=0.0986, PriorBnd post/prior=4.23e-04/6.08e-05 | Best 0.0983 | Patience 9/40
 >> Epoch 048 | Train Total=0.3234 | Val post/prior Total=0.7426/0.7839, Recon post/prior=0.6531/0.6489, KL=0.0244, CycSim post/prior=0.0697/0.0437, CycMeas=0.0990, PriorBnd post/prior=1.35e-04/5.46e-05 | Best 0.0983 | Patience 10/40
 >> Epoch 049 | Train Total=0.3232 | Val post/prior Total=0.7428/0.7845, Recon post/prior=0.6513/0.6469, KL=0.0234, CycSim post/prior=0.0713/0.0444, CycMeas=0.1010, PriorBnd post/prior=2.72e-04/6.87e-05 | Best 0.0983 | Patience 11/40
 >> Epoch 050 | Train Total=0.3242 | Val post/prior Total=0.7542/0.8041, Recon post/prior=0.6585/0.6550, KL=0.0208, CycSim post/prior=0.0749/0.0529, CycMeas=0.1028, PriorBnd post/prior=4.36e-04/5.11e-05 | Best 0.0983 | Patience 12/40
 >> Epoch 051 | Train Total=0.3262 | Val post/prior Total=0.7411/0.7818, Recon post/prior=0.6505/0.6458, KL=0.0242, CycSim post/prior=0.0705/0.0432, CycMeas=0.1008, PriorBnd post/prior=3.69e-04/6.38e-05 | Best 0.0983 | Patience 13/40
 >> Epoch 052 | Train Total=0.3255 | Val post/prior Total=0.7359/0.7762, Recon post/prior=0.6496/0.6444, KL=0.0254, CycSim post/prior=0.0667/0.0405, CycMeas=0.0994, PriorBnd post/prior=3.06e-04/6.86e-05 | Best 0.0983 | Patience 14/40
 >> Epoch 053 | Train Total=0.3260 | Val post/prior Total=0.7349/0.7755, Recon post/prior=0.6487/0.6440, KL=0.0244, CycSim post/prior=0.0668/0.0412, CycMeas=0.0980, PriorBnd post/prior=2.71e-04/6.49e-05 | Best 0.0983 | Patience 15/40
[Update] best val_cyc_meas improved to 0.098020 @ epoch 53
 >> Epoch 054 | Train Total=0.3267 | Val post/prior Total=0.7334/0.7727, Recon post/prior=0.6475/0.6429, KL=0.0237, CycSim post/prior=0.0667/0.0399, CycMeas=0.0980, PriorBnd post/prior=1.90e-04/6.28e-05 | Best 0.0980 | Patience 1/40
 >> Epoch 055 | Train Total=0.3260 | Val post/prior Total=0.7370/0.7824, Recon post/prior=0.6498/0.6457, KL=0.0211, CycSim post/prior=0.0679/0.0453, CycMeas=0.0985, PriorBnd post/prior=2.87e-04/6.06e-05 | Best 0.0980 | Patience 2/40
 >> Epoch 056 | Train Total=0.3271 | Val post/prior Total=0.7356/0.7815, Recon post/prior=0.6500/0.6465, KL=0.0227, CycSim post/prior=0.0667/0.0437, CycMeas=0.0989, PriorBnd post/prior=1.03e-04/5.59e-05 | Best 0.0980 | Patience 3/40
 >> Epoch 057 | Train Total=0.3279 | Val post/prior Total=0.7405/0.7842, Recon post/prior=0.6507/0.6464, KL=0.0227, CycSim post/prior=0.0699/0.0460, CycMeas=0.0989, PriorBnd post/prior=3.69e-04/5.68e-05 | Best 0.0980 | Patience 4/40
 >> Epoch 058 | Train Total=0.3283 | Val post/prior Total=0.7311/0.7732, Recon post/prior=0.6475/0.6425, KL=0.0209, CycSim post/prior=0.0647/0.0411, CycMeas=0.0973, PriorBnd post/prior=3.97e-04/7.13e-05 | Best 0.0980 | Patience 5/40
[Update] best val_cyc_meas improved to 0.097304 @ epoch 58
 >> Epoch 059 | Train Total=0.3296 | Val post/prior Total=0.7375/0.7803, Recon post/prior=0.6482/0.6437, KL=0.0196, CycSim post/prior=0.0695/0.0451, CycMeas=0.0988, PriorBnd post/prior=3.06e-04/6.36e-05 | Best 0.0973 | Patience 1/40
