[log] tee initialized at 2025-12-09 16:05:50 -> temp_Bidi_cvae_11param_2channel\cvae_20251209-160550\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Bidi_cvae_11param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Bidi_cvae_11param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 012 | Train Total=12.5676 | Val post/prior Total=6.5606/5.1901, Recon post/prior=1.0174/0.9622, KL=2.6649, | CycSim post total/iv/gm=0.4201/0.1844/0.2357, | CycSim prior total/iv/gm=0.4218/0.1840/0.2377, | CycMeas total/iv/gm=0.2316/0.0989/0.1327, | train Physical Sim/Meas=0.0062/0.7927, | PriorBnd post/prior=7.70e-03/5.43e-03 | Best 0.1319 | Patience 5/100
 >> Epoch 013 | Train Total=10.2512 | Val post/prior Total=6.6402/5.4030, Recon post/prior=1.0111/0.9678, KL=2.0575, | CycSim post total/iv/gm=0.4590/0.2060/0.2529, | CycSim prior total/iv/gm=0.4424/0.1966/0.2458, | CycMeas total/iv/gm=0.1628/0.0697/0.0930, | train Physical Sim/Meas=0.0053/1.0517, | PriorBnd post/prior=1.22e-02/1.07e-02 | Best 0.1319 | Patience 6/100
 >> Epoch 014 | Train Total=9.3597 | Val post/prior Total=5.7687/4.6877, Recon post/prior=0.9641/0.9550, KL=1.8335, | CycSim post total/iv/gm=0.3878/0.1705/0.2173, | CycSim prior total/iv/gm=0.3722/0.1629/0.2093, | CycMeas total/iv/gm=0.1123/0.0526/0.0597, | train Physical Sim/Meas=0.0048/1.0873, | PriorBnd post/prior=1.20e-02/1.15e-02 | Best 0.1319 | Patience 7/100
[Update] best val_cyc_meas improved to 0.112295 @ epoch 14
 >> Epoch 015 | Train Total=8.9386 | Val post/prior Total=5.5837/4.5812, Recon post/prior=0.9569/0.9465, KL=1.6700, | CycSim post total/iv/gm=0.3782/0.1686/0.2096, | CycSim prior total/iv/gm=0.3623/0.1605/0.2018, | CycMeas total/iv/gm=0.1467/0.0616/0.0851, | train Physical Sim/Meas=0.0047/1.1114, | PriorBnd post/prior=1.46e-02/1.32e-02 | Best 0.1123 | Patience 1/100
 >> Epoch 016 | Train Total=8.5563 | Val post/prior Total=5.6918/4.7015, Recon post/prior=0.9320/0.9261, KL=1.5593, | CycSim post total/iv/gm=0.3971/0.1792/0.2179, | CycSim prior total/iv/gm=0.3764/0.1680/0.2084, | CycMeas total/iv/gm=0.2036/0.0850/0.1186, | train Physical Sim/Meas=0.0045/1.1055, | PriorBnd post/prior=1.51e-02/1.29e-02 | Best 0.1123 | Patience 2/100
 >> Epoch 017 | Train Total=8.1921 | Val post/prior Total=5.4166/4.5078, Recon post/prior=0.9128/0.9140, KL=1.5329, | CycSim post total/iv/gm=0.3728/0.1680/0.2048, | CycSim prior total/iv/gm=0.3582/0.1602/0.1980, | CycMeas total/iv/gm=0.2050/0.0838/0.1212, | train Physical Sim/Meas=0.0043/1.0774, | PriorBnd post/prior=1.71e-02/1.50e-02 | Best 0.1123 | Patience 3/100
 >> Epoch 018 | Train Total=7.7267 | Val post/prior Total=5.5477/4.7137, Recon post/prior=0.8863/0.8867, KL=1.3276, | CycSim post total/iv/gm=0.3989/0.1803/0.2187, | CycSim prior total/iv/gm=0.3817/0.1723/0.2095, | CycMeas total/iv/gm=0.1412/0.0624/0.0788, | train Physical Sim/Meas=0.0041/1.0681, | PriorBnd post/prior=1.39e-02/1.26e-02 | Best 0.1123 | Patience 4/100
 >> Epoch 019 | Train Total=7.5602 | Val post/prior Total=5.1663/4.4598, Recon post/prior=0.8979/0.9040, KL=1.1638, | CycSim post total/iv/gm=0.3678/0.1677/0.2001, | CycSim prior total/iv/gm=0.3544/0.1615/0.1929, | CycMeas total/iv/gm=0.2119/0.0855/0.1264, | train Physical Sim/Meas=0.0041/1.0244, | PriorBnd post/prior=1.69e-02/1.52e-02 | Best 0.1123 | Patience 5/100
 >> Epoch 020 | Train Total=7.0853 | Val post/prior Total=5.3245/4.3302, Recon post/prior=0.8905/0.8895, KL=1.1046, | CycSim post total/iv/gm=0.3873/0.1757/0.2116, | CycSim prior total/iv/gm=0.3430/0.1574/0.1855, | CycMeas total/iv/gm=0.1858/0.0727/0.1131, | train Physical Sim/Meas=0.0038/0.9859, | PriorBnd post/prior=1.58e-02/1.53e-02 | Best 0.1123 | Patience 6/100
 >> Epoch 021 | Train Total=7.6403 | Val post/prior Total=5.1582/4.2822, Recon post/prior=0.9324/0.9074, KL=1.2311, | CycSim post total/iv/gm=0.3600/0.1671/0.1929, | CycSim prior total/iv/gm=0.3363/0.1528/0.1835, | CycMeas total/iv/gm=0.2115/0.0881/0.1234, | train Physical Sim/Meas=0.0042/0.9895, | PriorBnd post/prior=2.19e-02/1.52e-02 | Best 0.1123 | Patience 7/100
 >> Epoch 022 | Train Total=7.7056 | Val post/prior Total=4.6993/3.9355, Recon post/prior=0.9366/0.9079, KL=1.2325, | CycSim post total/iv/gm=0.3136/0.1471/0.1665, | CycSim prior total/iv/gm=0.3015/0.1397/0.1618, | CycMeas total/iv/gm=0.1997/0.0842/0.1155, | train Physical Sim/Meas=0.0042/1.0236, | PriorBnd post/prior=2.25e-02/1.41e-02 | Best 0.1123 | Patience 8/100
 >> Epoch 023 | Train Total=7.5557 | Val post/prior Total=4.5206/4.0701, Recon post/prior=0.9328/0.9169, KL=1.0158, | CycSim post total/iv/gm=0.3070/0.1423/0.1647, | CycSim prior total/iv/gm=0.3140/0.1441/0.1699, | CycMeas total/iv/gm=0.2608/0.1057/0.1550, | train Physical Sim/Meas=0.0041/1.0636, | PriorBnd post/prior=1.54e-02/9.40e-03 | Best 0.1123 | Patience 9/100
 >> Epoch 024 | Train Total=7.0029 | Val post/prior Total=4.2576/3.9131, Recon post/prior=0.9033/0.8900, KL=0.8097, | CycSim post total/iv/gm=0.2941/0.1353/0.1588, | CycSim prior total/iv/gm=0.3011/0.1366/0.1646, | CycMeas total/iv/gm=0.2058/0.0839/0.1218, | train Physical Sim/Meas=0.0039/1.0694, | PriorBnd post/prior=8.35e-03/4.71e-03 | Best 0.1123 | Patience 10/100
 >> Epoch 025 | Train Total=6.8573 | Val post/prior Total=4.2716/4.0400, Recon post/prior=0.8966/0.8907, KL=0.6624, | CycSim post total/iv/gm=0.3035/0.1369/0.1666, | CycSim prior total/iv/gm=0.3136/0.1408/0.1729, | CycMeas total/iv/gm=0.2666/0.1040/0.1627, | train Physical Sim/Meas=0.0039/1.0881, | PriorBnd post/prior=7.32e-03/4.43e-03 | Best 0.1123 | Patience 11/100
 >> Epoch 026 | Train Total=6.6982 | Val post/prior Total=4.6040/4.3978, Recon post/prior=0.8871/0.8836, KL=0.6127, | CycSim post total/iv/gm=0.3403/0.1563/0.1840, | CycSim prior total/iv/gm=0.3502/0.1594/0.1908, | CycMeas total/iv/gm=0.2472/0.0971/0.1500, | train Physical Sim/Meas=0.0038/1.0954, | PriorBnd post/prior=5.47e-03/3.87e-03 | Best 0.1123 | Patience 12/100
 >> Epoch 027 | Train Total=6.7777 | Val post/prior Total=4.1072/3.9137, Recon post/prior=0.8749/0.8769, KL=0.6532, | CycSim post total/iv/gm=0.2898/0.1324/0.1575, | CycSim prior total/iv/gm=0.3026/0.1355/0.1671, | CycMeas total/iv/gm=0.1756/0.0712/0.1044, | train Physical Sim/Meas=0.0039/1.0690, | PriorBnd post/prior=4.37e-03/3.22e-03 | Best 0.1123 | Patience 13/100
 >> Epoch 028 | Train Total=6.7007 | Val post/prior Total=3.7455/3.7114, Recon post/prior=0.8625/0.8741, KL=0.6431, | CycSim post total/iv/gm=0.2554/0.1152/0.1403, | CycSim prior total/iv/gm=0.2827/0.1246/0.1581, | CycMeas total/iv/gm=0.1380/0.0567/0.0813, | train Physical Sim/Meas=0.0038/1.0925, | PriorBnd post/prior=3.38e-03/2.67e-03 | Best 0.1123 | Patience 14/100
 >> Epoch 029 | Train Total=6.3834 | Val post/prior Total=4.5292/4.1753, Recon post/prior=0.8771/0.8915, KL=0.6382, | CycSim post total/iv/gm=0.3325/0.1532/0.1794, | CycSim prior total/iv/gm=0.3269/0.1488/0.1780, | CycMeas total/iv/gm=0.3394/0.1280/0.2114, | train Physical Sim/Meas=0.0036/1.0707, | PriorBnd post/prior=6.19e-03/6.48e-03 | Best 0.1123 | Patience 15/100
