[log] tee initialized at 2025-11-28 12:55:42 -> temp_Unidi_cvae_14param_2channel\session_20251128-125542.log
Using CUDA device 0: NVIDIA GeForce RTX 4060 Laptop GPU
[log] tee initialized at 2025-11-28 12:55:45 -> temp_Unidi_cvae_14param_2channel\cvae_20251128-125545\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Unidi_cvae_14param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Unidi_cvae_14param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 001 | Train Total=21.3042 | Val post/prior Total=28.3677/26.7368, Recon post/prior=0.9077/0.8930, KL=3.0293, | CycSim post total/iv/gm=2.5941/2.0743/0.5198, | CycSim prior total/iv/gm=2.5839/2.0660/0.5179, | CycMeas total/iv/gm=0.9191/0.7574/0.1618, | PriorBnd post/prior=5.60e-04/3.00e-04 | Best inf | Patience 1/80
[Update] best val_cyc_meas improved to 0.919108 @ epoch 1
 >> Epoch 002 | Train Total=9.6685 | Val post/prior Total=30.9263/29.8959, Recon post/prior=0.9135/0.9092, KL=1.8328, | CycSim post total/iv/gm=2.9091/2.3241/0.5850, | CycSim prior total/iv/gm=2.8981/2.3153/0.5828, | CycMeas total/iv/gm=0.3812/0.3255/0.0557, | PriorBnd post/prior=8.52e-04/7.08e-04 | Best 0.9191 | Patience 1/80
[Update] best val_cyc_meas improved to 0.381214 @ epoch 2
 >> Epoch 003 | Train Total=8.3053 | Val post/prior Total=29.0274/28.1269, Recon post/prior=0.9215/0.9235, KL=1.4532, | CycSim post total/iv/gm=2.7374/2.1861/0.5513, | CycSim prior total/iv/gm=2.7196/2.1713/0.5483, | CycMeas total/iv/gm=0.6531/0.5260/0.1271, | PriorBnd post/prior=6.85e-04/4.91e-04 | Best 0.3812 | Patience 1/80
 >> Epoch 004 | Train Total=7.5765 | Val post/prior Total=26.5047/25.2257, Recon post/prior=0.9280/0.9303, KL=1.4534, | CycSim post total/iv/gm=2.4844/1.9761/0.5082, | CycSim prior total/iv/gm=2.4287/1.9311/0.4976, | CycMeas total/iv/gm=0.6478/0.5163/0.1315, | PriorBnd post/prior=7.30e-04/6.14e-04 | Best 0.3812 | Patience 2/80
 >> Epoch 005 | Train Total=7.0607 | Val post/prior Total=29.9476/28.9030, Recon post/prior=0.9266/0.9327, KL=1.3860, | CycSim post total/iv/gm=2.8322/2.2581/0.5741, | CycSim prior total/iv/gm=2.7960/2.2279/0.5681, | CycMeas total/iv/gm=1.1647/0.9300/0.2347, | PriorBnd post/prior=7.80e-04/5.33e-04 | Best 0.3812 | Patience 3/80
 >> Epoch 006 | Train Total=6.7918 | Val post/prior Total=24.7787/23.9480, Recon post/prior=0.9148/0.9209, KL=1.3319, | CycSim post total/iv/gm=2.3192/1.8466/0.4726, | CycSim prior total/iv/gm=2.3017/1.8316/0.4701, | CycMeas total/iv/gm=0.9323/0.7497/0.1826, | PriorBnd post/prior=6.93e-04/4.83e-04 | Best 0.3812 | Patience 4/80
 >> Epoch 007 | Train Total=6.4420 | Val post/prior Total=27.5479/26.3423, Recon post/prior=0.9140/0.9196, KL=1.5227, | CycSim post total/iv/gm=2.5866/2.0538/0.5328, | CycSim prior total/iv/gm=2.5412/2.0176/0.5237, | CycMeas total/iv/gm=0.7959/0.6283/0.1675, | PriorBnd post/prior=5.53e-04/3.64e-04 | Best 0.3812 | Patience 5/80
 >> Epoch 008 | Train Total=6.3407 | Val post/prior Total=28.3834/27.5580, Recon post/prior=0.9216/0.9309, KL=1.3393, | CycSim post total/iv/gm=2.6786/2.1260/0.5525, | CycSim prior total/iv/gm=2.6614/2.1101/0.5512, | CycMeas total/iv/gm=1.2314/0.9954/0.2360, | PriorBnd post/prior=5.39e-04/3.13e-04 | Best 0.3812 | Patience 6/80
 >> Epoch 009 | Train Total=6.0245 | Val post/prior Total=26.5510/25.5034, Recon post/prior=0.9074/0.9158, KL=1.4997, | CycSim post total/iv/gm=2.4887/1.9633/0.5254, | CycSim prior total/iv/gm=2.4575/1.9359/0.5216, | CycMeas total/iv/gm=0.9734/0.7739/0.1995, | PriorBnd post/prior=3.46e-04/2.33e-04 | Best 0.3812 | Patience 7/80
 >> Epoch 010 | Train Total=5.8911 | Val post/prior Total=27.7667/26.3947, Recon post/prior=0.9041/0.9095, KL=1.5984, | CycSim post total/iv/gm=2.6057/2.0640/0.5417, | CycSim prior total/iv/gm=2.5471/2.0158/0.5314, | CycMeas total/iv/gm=1.1051/0.8820/0.2230, | PriorBnd post/prior=3.90e-04/4.11e-04 | Best 0.3812 | Patience 8/80
