[log] tee initialized at 2025-11-28 16:51:10 -> temp_Unidi_cvae_14param_2channel\cvae_20251128-165110\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Unidi_cvae_14param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Unidi_cvae_14param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 014 | Train Total=7.8219 | Val post/prior Total=12.6434/11.6829, Recon post/prior=0.9311/0.9386, KL=1.7619, | CycSim post total/iv/gm=1.0824/0.4593/0.6231, | CycSim prior total/iv/gm=1.0734/0.4537/0.6197, | CycMeas total/iv/gm=0.2991/0.1255/0.1736, | PriorBnd post/prior=9.01e-04/7.18e-04 | Best 0.2863 | Patience 13/80
 >> Epoch 015 | Train Total=8.1352 | Val post/prior Total=11.4069/10.4514, Recon post/prior=0.9246/0.9298, KL=1.4932, | CycSim post total/iv/gm=0.9728/0.4208/0.5520, | CycSim prior total/iv/gm=0.9510/0.4108/0.5403, | CycMeas total/iv/gm=0.3790/0.1637/0.2154, | PriorBnd post/prior=8.55e-04/9.02e-04 | Best 0.2863 | Patience 14/80
 >> Epoch 016 | Train Total=7.8491 | Val post/prior Total=11.7305/10.8029, Recon post/prior=0.9242/0.9292, KL=1.5593, | CycSim post total/iv/gm=1.0019/0.4312/0.5707, | CycSim prior total/iv/gm=0.9862/0.4235/0.5627, | CycMeas total/iv/gm=0.3671/0.1573/0.2097, | PriorBnd post/prior=8.47e-04/9.07e-04 | Best 0.2863 | Patience 15/80
 >> Epoch 017 | Train Total=7.7341 | Val post/prior Total=11.7445/10.5860, Recon post/prior=0.9195/0.9244, KL=1.7762, | CycSim post total/iv/gm=0.9930/0.4255/0.5675, | CycSim prior total/iv/gm=0.9650/0.4142/0.5508, | CycMeas total/iv/gm=0.3813/0.1622/0.2191, | PriorBnd post/prior=1.13e-03/1.21e-03 | Best 0.2863 | Patience 16/80
 >> Epoch 018 | Train Total=7.5491 | Val post/prior Total=11.8780/10.5273, Recon post/prior=0.9467/0.9547, KL=2.5109, | CycSim post total/iv/gm=0.9668/0.4144/0.5523, | CycSim prior total/iv/gm=0.9560/0.4087/0.5473, | CycMeas total/iv/gm=0.3493/0.1462/0.2030, | PriorBnd post/prior=2.61e-03/2.69e-03 | Best 0.2863 | Patience 17/80
 >> Epoch 019 | Train Total=7.5325 | Val post/prior Total=12.5437/11.3609, Recon post/prior=0.9227/0.9266, KL=1.9369, | CycSim post total/iv/gm=1.0645/0.4579/0.6066, | CycSim prior total/iv/gm=1.0423/0.4489/0.5934, | CycMeas total/iv/gm=0.2948/0.1194/0.1754, | PriorBnd post/prior=1.40e-03/1.44e-03 | Best 0.2863 | Patience 18/80
 >> Epoch 020 | Train Total=7.4577 | Val post/prior Total=11.6026/10.3131, Recon post/prior=0.9243/0.9296, KL=2.2876, | CycSim post total/iv/gm=0.9527/0.4127/0.5400, | CycSim prior total/iv/gm=0.9371/0.4064/0.5307, | CycMeas total/iv/gm=0.3625/0.1525/0.2100, | PriorBnd post/prior=1.57e-03/1.67e-03 | Best 0.2863 | Patience 19/80
 >> Epoch 021 | Train Total=7.3798 | Val post/prior Total=12.3286/10.8755, Recon post/prior=0.9264/0.9270, KL=1.7564, | CycSim post total/iv/gm=1.0517/0.4483/0.6034, | CycSim prior total/iv/gm=0.9937/0.4252/0.5686, | CycMeas total/iv/gm=0.2532/0.1007/0.1525, | PriorBnd post/prior=1.27e-03/1.35e-03 | Best 0.2863 | Patience 20/80
[Update] best val_cyc_meas improved to 0.253234 @ epoch 21
 >> Epoch 022 | Train Total=7.2866 | Val post/prior Total=11.8717/10.3573, Recon post/prior=0.9281/0.9308, KL=2.3651, | CycSim post total/iv/gm=0.9753/0.4206/0.5548, | CycSim prior total/iv/gm=0.9415/0.4079/0.5336, | CycMeas total/iv/gm=0.2738/0.1100/0.1638, | PriorBnd post/prior=1.65e-03/1.77e-03 | Best 0.2532 | Patience 1/80
