[log] tee initialized at 2025-11-05 03:24:28 -> temp_Bidi_cvae\session_20251105-032428.log
Using CUDA device 0: NVIDIA GeForce RTX 4060 Laptop GPU
[log] tee initialized at 2025-11-05 03:24:31 -> temp_Bidi_cvae\cvae_20251105-032431\train.log
[L_trust] using 20000 ref rows from temp_Bidi_cvae\proxy\proxy_Ytr_norm.npy
 >> Epoch 020 | Train Total=0.6405 | Val post/prior Total=0.7563/0.7786, Recon post/prior=0.6476/0.6391, KL=0.1048, CycSim post/prior=0.0738/0.0474, CycMeas=0.0991, PriorBnd post/prior=1.23e-03/1.16e-04 | Best 0.1004 | Patience 9/40
[Update] best val_cyc_meas improved to 0.099056 @ epoch 20
 >> Epoch 021 | Train Total=0.6384 | Val post/prior Total=0.7503/0.7790, Recon post/prior=0.6435/0.6378, KL=0.1390, CycSim post/prior=0.0737/0.0456, CycMeas=0.1039, PriorBnd post/prior=6.73e-04/8.72e-05 | Best 0.0991 | Patience 1/40
 >> Epoch 022 | Train Total=0.6357 | Val post/prior Total=0.7407/0.7864, Recon post/prior=0.6427/0.6385, KL=0.0528, CycSim post/prior=0.0743/0.0530, CycMeas=0.1013, PriorBnd post/prior=3.72e-04/9.38e-05 | Best 0.0991 | Patience 2/40
 >> Epoch 023 | Train Total=0.6341 | Val post/prior Total=0.7423/0.7879, Recon post/prior=0.6400/0.6357, KL=0.0635, CycSim post/prior=0.0771/0.0518, CycMeas=0.1085, PriorBnd post/prior=2.87e-04/7.07e-05 | Best 0.0991 | Patience 3/40
 >> Epoch 024 | Train Total=0.6314 | Val post/prior Total=0.7378/0.7857, Recon post/prior=0.6392/0.6353, KL=0.0384, CycSim post/prior=0.0763/0.0531, CycMeas=0.1044, PriorBnd post/prior=2.07e-04/7.72e-05 | Best 0.0991 | Patience 4/40
 >> Epoch 025 | Train Total=0.6306 | Val post/prior Total=0.7325/0.7727, Recon post/prior=0.6356/0.6308, KL=0.0646, CycSim post/prior=0.0724/0.0469, CycMeas=0.1029, PriorBnd post/prior=3.88e-04/8.15e-05 | Best 0.0991 | Patience 5/40
 >> Epoch 026 | Train Total=0.6302 | Val post/prior Total=0.7272/0.7650, Recon post/prior=0.6325/0.6277, KL=0.0726, CycSim post/prior=0.0697/0.0448, CycMeas=0.1001, PriorBnd post/prior=4.70e-04/8.51e-05 | Best 0.0991 | Patience 6/40
 >> Epoch 027 | Train Total=0.6291 | Val post/prior Total=0.7309/0.7811, Recon post/prior=0.6365/0.6335, KL=0.0376, CycSim post/prior=0.0728/0.0526, CycMeas=0.1015, PriorBnd post/prior=1.47e-04/7.21e-05 | Best 0.0991 | Patience 7/40
 >> Epoch 028 | Train Total=0.6275 | Val post/prior Total=0.7190/0.7535, Recon post/prior=0.6270/0.6212, KL=0.0547, CycSim post/prior=0.0684/0.0408, CycMeas=0.0996, PriorBnd post/prior=6.32e-04/9.67e-05 | Best 0.0991 | Patience 8/40
 >> Epoch 029 | Train Total=0.6267 | Val post/prior Total=0.7136/0.7551, Recon post/prior=0.6242/0.6198, KL=0.0456, CycSim post/prior=0.0678/0.0431, CycMeas=0.0999, PriorBnd post/prior=2.01e-04/8.53e-05 | Best 0.0991 | Patience 9/40
 >> Epoch 030 | Train Total=0.6246 | Val post/prior Total=0.7107/0.7535, Recon post/prior=0.6225/0.6177, KL=0.0473, CycSim post/prior=0.0665/0.0417, CycMeas=0.1026, PriorBnd post/prior=2.72e-04/9.61e-05 | Best 0.0991 | Patience 10/40
 >> Epoch 031 | Train Total=0.6241 | Val post/prior Total=0.7068/0.7488, Recon post/prior=0.6219/0.6166, KL=0.0418, CycSim post/prior=0.0640/0.0409, CycMeas=0.0994, PriorBnd post/prior=3.99e-04/8.28e-05 | Best 0.0991 | Patience 11/40
 >> Epoch 032 | Train Total=0.6220 | Val post/prior Total=0.7078/0.7542, Recon post/prior=0.6216/0.6178, KL=0.0401, CycSim post/prior=0.0655/0.0437, CycMeas=0.1004, PriorBnd post/prior=1.86e-04/8.58e-05 | Best 0.0991 | Patience 12/40
 >> Epoch 033 | Train Total=0.6213 | Val post/prior Total=0.7272/0.7875, Recon post/prior=0.6316/0.6294, KL=0.0545, CycSim post/prior=0.0724/0.0558, CycMeas=0.1096, PriorBnd post/prior=1.33e-04/9.28e-05 | Best 0.0991 | Patience 13/40
 >> Epoch 034 | Train Total=0.6213 | Val post/prior Total=0.7015/0.7432, Recon post/prior=0.6169/0.6118, KL=0.0376, CycSim post/prior=0.0643/0.0397, CycMeas=0.0999, PriorBnd post/prior=2.44e-04/8.84e-05 | Best 0.0991 | Patience 14/40
 >> Epoch 035 | Train Total=0.6216 | Val post/prior Total=0.7010/0.7439, Recon post/prior=0.6159/0.6111, KL=0.0362, CycSim post/prior=0.0647/0.0414, CycMeas=0.0991, PriorBnd post/prior=3.37e-04/9.60e-05 | Best 0.0991 | Patience 15/40
 >> Epoch 036 | Train Total=0.6212 | Val post/prior Total=0.7002/0.7453, Recon post/prior=0.6157/0.6114, KL=0.0358, CycSim post/prior=0.0642/0.0418, CycMeas=0.1000, PriorBnd post/prior=4.11e-04/9.52e-05 | Best 0.0991 | Patience 16/40
