domain,sup_ps,prior_l2_ps,prior_bnd_ps,cyc_sim_ps,knn_min,knn_mean_k,jac_sigma_max,proxy_floor_ps
sim,1.4539308547973633,1.843760967254639,0.0366188511252403,6.118475437164307,2.281969785690308,2.4126713275909424,,4.949719429016113
sim,2.1828925609588623,5.539341926574707,0.1249281764030456,6.0602006912231445,1.8786616325378416,2.094721794128418,,4.178144931793213
sim,1.1187304258346558,1.4548243284225464,0.0102103743702173,4.72475528717041,1.6004635095596311,1.7742652893066406,,3.698899030685425
sim,0.535132884979248,1.2066774368286133,0.0,4.702184200286865,1.4294860363006592,1.7478421926498413,,4.669250965118408
sim,0.7722564339637756,1.0012458562850952,0.0,4.353591442108154,1.474606156349182,1.7450321912765503,,3.7918529510498047
sim,1.389847755432129,2.229609251022339,0.0377908907830715,4.339179039001465,1.360573410987854,2.027792453765869,,3.8453333377838135
sim,1.588562250137329,2.5277059078216557,0.0215110871940851,4.1091718673706055,2.027116060256958,2.2496469020843506,,3.784649133682251
sim,0.8308464884757996,1.836119294166565,0.0557057633996009,4.067196846008301,1.0544559955596924,1.621228575706482,,3.78410005569458
sim,0.7327067255973816,1.513089299201965,0.0,3.8566198348999023,1.3231242895126345,1.7355157136917114,,3.239708423614502
sim,0.7647677659988403,1.0492568016052246,0.0114076826721429,3.7925667762756343,1.5812941789627075,1.7242915630340576,,3.651660919189453
sim,0.4720557034015655,0.9338866472244264,0.0,3.739182949066162,1.585129737854004,1.7068465948104858,,3.694835662841797
sim,0.595281720161438,0.6609657406806946,0.0,3.4760167598724365,1.2019703388214111,1.5750905275344849,,3.440192937850952
sim,0.5527690649032593,0.700263261795044,0.0,3.4384090900421143,1.6459757089614868,1.811545252799988,,3.34611177444458
sim,0.5211478471755981,0.5703573822975159,0.0,3.179872989654541,1.5804704427719116,1.8113927841186523,,3.121020555496216
sim,0.9066384434700012,0.860109269618988,0.0,3.179195642471313,1.8629858493804927,2.2416491508483887,,3.147953510284424
sim,0.6447054743766785,0.8416869640350342,0.0016046167584136,3.073082685470581,1.3926377296447754,1.6601693630218506,,1.6921049356460571
sim,0.7827029824256897,0.6850569844245911,0.0,3.05969500541687,1.4310829639434814,1.7785392999649048,,2.9942989349365234
sim,1.0306658744812012,0.7649582028388977,0.0,3.0300214290618896,2.0137088298797607,2.1480917930603027,,2.515587091445923
sim,0.423680305480957,0.5228644609451294,0.0,3.003340244293213,1.5644515752792358,1.693506956100464,,2.9168295860290527
sim,0.4795880317687988,0.5066389441490173,0.0,2.9439022541046143,1.2099395990371704,1.5306663513183594,,2.924915075302124
sim,0.287930965423584,0.977308452129364,0.0,2.885672807693481,1.7966231107711792,1.8522483110427856,,2.670400619506836
sim,0.7938962578773499,0.8896002769470215,0.0039259195327758,2.872011661529541,1.536158561706543,1.7192330360412598,,2.771868705749512
sim,0.7845466732978821,0.6443693041801453,0.0,2.869156837463379,1.152455449104309,1.6695526838302612,,2.8010363578796387
sim,0.8002761006355286,0.6255264282226562,0.0,2.8462157249450684,1.1663215160369873,1.6284408569335938,,2.8096747398376465
sim,0.643962562084198,1.1108601093292236,0.0,2.7600347995758057,1.5015860795974731,1.7816691398620603,,2.70991849899292
sim,1.2982256412506104,1.6155836582183838,0.0107659017667174,2.757177352905273,1.1398413181304932,1.8664298057556152,,2.0745019912719727
sim,0.4769073128700256,0.8968009948730469,0.0,2.753819942474365,1.8464434146881104,2.0200884342193604,,2.6983110904693604
sim,0.5596346855163574,1.818315863609314,0.0044729625806212,2.743291139602661,1.3720213174819946,1.8163869380950928,,2.501850128173828
sim,0.8142992854118347,0.8504731059074402,0.0109488368034362,2.6883327960968018,0.9905868172645568,1.630979061126709,,2.585221767425537
sim,0.4750215411186218,0.5573264360427856,0.0,2.6720612049102783,1.2892755270004272,1.510400414466858,,2.664175033569336
sim,0.8297973275184631,1.1979942321777344,0.0198044870048761,2.649040460586548,1.6135303974151611,1.7433762550354004,,2.378120422363281
sim,0.5373452305793762,0.387719064950943,0.0,2.597617149353028,1.4008978605270386,1.6427488327026367,,2.541278123855591
sim,0.4305546581745147,0.5964546203613281,0.0,2.545081377029419,1.5541579723358154,1.750553846359253,,2.529770612716675
sim,0.4825581014156341,0.4740788042545318,0.0,2.524430751800537,1.4728084802627563,1.7003717422485352,,2.456460237503052
sim,0.7440862059593201,2.114272356033325,0.0188628360629081,2.4959545135498047,1.8474595546722408,2.080695867538452,,2.2556490898132324
sim,0.7238093614578247,0.7865447998046875,0.0,2.471688985824585,1.278519868850708,1.6189651489257812,,2.2348015308380127
sim,0.7242692112922668,0.7325218319892883,0.0,2.46845817565918,1.624761700630188,2.0614795684814453,,2.4537365436553955
sim,0.8561283946037292,0.5978439450263977,0.0,2.4352385997772217,1.1001166105270386,1.6612062454223633,,2.337887525558472
sim,0.7552631497383118,0.8837836384773254,0.0004015607701148,2.4008712768554688,1.778323769569397,1.913976788520813,,2.1665523052215576
sim,0.5486602783203125,0.4119551181793213,0.0,2.3222134113311768,1.250918984413147,1.394437313079834,,2.2437191009521484
sim,0.6327901482582092,0.8158193230628967,0.0033485337626188,2.281306028366089,1.4393987655639648,1.7508617639541626,,2.0902974605560303
sim,0.8592962026596069,0.8776288032531738,0.0,2.274556875228882,1.6979942321777344,2.0710597038269043,,2.2488481998443604
sim,0.4464104175567627,0.5535438656806946,0.0,2.259932518005371,1.340839147567749,1.526220440864563,,2.238130807876587
sim,1.8525446653366089,8.31887149810791,0.346101701259613,2.2282183170318604,1.448745846748352,1.6400336027145386,,2.0553534030914307
sim,0.6532679796218872,0.5883592963218689,0.0,2.189441680908203,1.3897002935409546,1.698517084121704,,1.9865756034851076
sim,0.6986107230186462,0.6344907283782959,0.0,2.11536169052124,1.4034898281097412,1.527590036392212,,2.0684070587158203
sim,0.6323652863502502,0.6684167981147766,0.0,2.100381135940552,1.638017654418945,1.8752050399780276,,1.437171459197998
sim,0.7690513134002686,1.2214347124099731,0.0178669951856136,2.063690185546875,1.2902607917785645,1.6746724843978882,17.297557830810547,1.607355713844299
sim,0.8033275008201599,0.5376325845718384,0.0,2.034745216369629,1.451572060585022,1.81488299369812,,2.025954008102417
