domain,cyc_sim_ps,sup_ps,prior_l2_ps,prior_bnd_ps,knn_min,knn_mean_k,jac_sig
sim,2.658982753753662,1.0096620321273804,1.5337129831314087,0.0094784367829561,1.8488316535949707,2.1285834312438965,91.95433044433594
sim,2.609236001968384,1.375498652458191,2.298906087875366,0.0135912932455539,2.5193278789520264,2.685645341873169,67.7365951538086
sim,2.2970356941223145,1.2823797464370728,2.238230466842652,0.0104313716292381,1.6266148090362549,1.9562517404556277,75.94342041015625
sim,2.229807615280152,0.8482974171638489,1.57511305809021,0.0139590501785278,1.5556796789169312,1.9317750930786133,
sim,2.2158827781677246,1.0045461654663086,1.7260072231292725,0.0181021988391876,1.7408227920532229,2.0621566772460938,
sim,1.9480314254760744,1.047382354736328,1.3777728080749512,0.0111191384494304,1.7830373048782349,2.0447354316711426,60.63566970825195
sim,1.9187135696411133,1.2147228717803955,1.2161283493041992,0.0084872860461473,2.1936306953430176,2.34389877319336,100.57201385498048
sim,1.914995789527893,0.9247686266899108,1.4140020608901978,0.0110690239816904,1.8729690313339236,2.106252670288086,
sim,1.90375292301178,0.9944356083869934,1.174523115158081,0.0082059502601623,1.90027117729187,2.1586756706237797,175.7565155029297
sim,1.8666001558303835,0.95465886592865,1.0795915126800537,0.006756842136383,1.6439175605773926,1.936401963233948,179.35179138183594
sim,1.8147624731063845,1.4568830728530884,1.9406033754348757,0.0355102084577083,1.903540015220642,2.11772084236145,159.35574340820312
sim,1.781365156173706,0.9181876182556152,1.065194845199585,0.0070229768753051,1.8808614015579224,1.9441094398498533,155.43748474121094
sim,1.7355659008026123,0.8304968476295471,1.3885445594787598,0.007810307200998,1.5115288496017456,1.7981436252593994,61.61303329467773
sim,1.7238730192184448,0.9875714778900146,1.185981273651123,0.0061938166618347,1.3681609630584717,1.5903308391571045,72.33453369140625
sim,1.7131670713424685,1.090491533279419,1.3435252904891968,0.0045437454245984,1.968087673187256,2.1665964126586914,96.2083511352539
sim,1.7119213342666626,1.055011510848999,1.8243567943573,0.0130948834121227,1.656727313995361,1.8793762922286987,
sim,1.709110140800476,1.029374599456787,1.3522603511810305,0.0045561911538243,1.9263367652893064,2.032225608825684,72.64221954345703
sim,1.6288501024246216,1.125451922416687,1.419970154762268,0.0025760889984667,1.8122811317443848,2.0158944129943848,
sim,1.6205087900161743,0.9079186916351318,1.0776869058609009,0.0026287795044481,1.7132374048233032,2.113497257232666,43.42048263549805
sim,1.6195586919784546,1.1918171644210815,1.5402328968048096,0.0014154076343402,1.6035025119781494,1.9900929927825928,144.23333740234375
sim,1.608209490776062,1.1497058868408203,1.8080638647079468,0.018175508826971,1.8867965936660769,2.3560476303100586,
sim,1.6074222326278689,0.9535661339759828,1.3080153465270996,0.0051036258228123,1.2580490112304688,1.8495891094207764,51.13336181640625
sim,1.6015007495880127,1.3893641233444214,1.404642939567566,0.000948280096054,1.8990402221679688,2.098219156265259,49.29956817626953
sim,1.572622537612915,1.0432595014572144,1.1466413736343384,0.0028249688912183,2.0202677249908447,2.274540424346924,38.9608154296875
sim,1.5624388456344604,0.7184292078018188,1.319747805595398,0.0070318216457962,1.7042322158813477,1.9012452363967896,74.48576354980469
sim,1.5204824209213257,0.9892690181732178,1.4993298053741455,0.0108229648321866,1.9839915037155151,2.1443238258361816,69.08582305908203
sim,1.5165921449661257,1.1836782693862915,1.2573869228363037,0.0016944110393524,1.7731314897537231,2.164499998092652,
sim,1.4735287427902222,1.175920486450195,1.862282156944275,0.0089560048654675,1.8546513319015503,2.147804975509644,40.02277374267578
sim,1.4347976446151731,1.2577862739562988,1.6369928121566772,0.0148285329341888,1.8122040033340452,1.9326403141021729,50.30358123779297
sim,1.4318101406097412,1.5469410419464111,1.6162145137786863,0.0134463720023632,1.9135468006134035,2.202287197113037,67.26380920410156
sim,1.3523606061935425,1.382020115852356,1.7598273754119873,0.0177342817187309,1.520288586616516,1.797084927558899,178.3904571533203
sim,1.3447186946868896,1.1821845769882202,1.6473394632339478,0.0069569572806358,1.4594143629074097,1.8685967922210691,81.17425537109375
sim,1.2775897979736328,0.9510803818702698,1.027812957763672,0.0,1.7074060440063477,2.0242276191711426,
sim,1.2774803638458252,1.6634271144866943,1.998057842254639,0.0274683199822902,2.1293182373046875,2.2875239849090576,64.79766082763672
sim,1.273363471031189,1.3284811973571775,1.282205581665039,0.0,2.1114745140075684,2.2922887802124023,46.917606353759766
sim,1.2319647073745728,1.3261626958847046,1.7063653469085691,0.0154444565996527,1.5487444400787354,2.029248714447021,93.02088165283205
sim,1.2174607515335083,1.4412856101989746,1.886765718460083,0.0286510232836008,1.3859833478927612,2.195169448852539,109.45304870605467
sim,1.18932843208313,1.159148931503296,1.146872878074646,0.0,1.7983598709106443,2.03635311126709,163.43423461914062
sim,1.167270302772522,0.9039629101753236,1.9169659614562988,0.04611636698246,1.9958796501159668,2.1997768878936768,58.22906112670898
sim,1.150273680686951,0.8689680695533752,1.176173448562622,0.0,1.6343499422073364,1.890423059463501,
sim,1.1328125,1.4244599342346191,1.492732286453247,0.0082398001104593,1.4342448711395264,2.151538848876953,47.01765441894531
sim,1.1108447313308716,0.9110853672027588,1.8381569385528564,0.0180106237530708,1.5569015741348269,1.728276014328003,64.12556457519531
sim,1.1031177043914795,0.7292541265487671,1.4382025003433228,0.0133390957489609,1.554412007331848,1.7758300304412842,66.03367614746094
sim,1.090679407119751,1.1242468357086182,0.951215386390686,0.0,1.8270552158355715,1.954424738883972,51.35520935058594
sim,1.0799511671066284,1.3302891254425049,1.7261788845062256,0.006465096026659,1.6511554718017578,1.8988761901855469,131.7592315673828
sim,1.0714281797409058,1.2146871089935305,2.5288519859313965,0.0305153168737888,1.5504041910171509,2.00874137878418,100.3573989868164
sim,1.0538707971572876,0.9716851115226746,0.9598522782325744,0.0,1.991163730621338,2.2563726902008057,97.19744873046876
sim,1.044217228889465,1.099544882774353,1.249366044998169,0.0115380985662341,2.154034376144409,2.2607240676879883,
sim,1.0039606094360352,0.985759973526001,2.5888192653656006,0.0412680581212043,1.7850600481033323,2.063584804534912,74.63736724853516
sim,1.0017184019088743,1.145310640335083,1.91219174861908,0.0112930610775947,1.4007978439331057,1.8061158657073972,46.7638053894043
