domain,sup_ps,prior_l2_ps,prior_bnd_ps,cyc_sim_ps,knn_min,knn_mean_k,jac_sigma_max
sim,0.591700553894043,0.7510590553283691,0.6357651948928833,0.098182663321495,1.080150127410889,1.493940830230713,
sim,0.5960494875907898,0.7542789578437805,0.6354516744613647,0.0911425799131393,1.1542229652404783,1.4902385473251345,
sim,0.534136176109314,0.7178519368171692,0.6342846155166626,0.1060438603162765,1.0005220174789429,1.497068166732788,
sim,0.5077142715454102,0.7075128555297852,0.6335554122924805,0.1181347668170929,1.0550038814544678,1.453726053237915,
sim,0.7813650965690613,0.7074353098869324,0.6334140300750732,0.109307050704956,0.940679132938385,1.500411033630371,
sim,0.5496495366096497,0.7070805430412292,0.6333444118499756,0.1261203438043594,0.9588198065757751,1.4962049722671509,
sim,0.6466962099075317,0.6789201498031616,0.6318192481994629,0.1062008887529373,0.9493754506111144,1.461957931518555,
sim,0.593010425567627,0.6814171671867371,0.6314845681190491,0.0954436659812927,0.9378641247749328,1.4716161489486694,
sim,0.8198785185813904,0.6787139177322388,0.6313081979751587,0.1257761120796203,1.0144745111465454,1.4062556028366089,
sim,0.6142609715461731,0.6784927248954773,0.6308614611625671,0.0573247633874416,1.0370914936065674,1.4398088455200195,
sim,0.6982247233390808,0.6535083651542664,0.6304442882537842,0.0924422740936279,0.992217779159546,1.439637303352356,
sim,0.8198356628417969,0.7104628682136536,0.6303730010986328,0.107870876789093,1.2964235544204712,1.4675040245056152,
sim,0.6908628344535828,0.7339739799499512,0.6296942234039307,0.0909377709031105,1.1731027364730835,1.5267550945281982,
sim,0.4756323397159576,0.6516862511634827,0.6296670436859131,0.0732711926102638,0.9314424991607666,1.4537250995635986,
meas,,0.6489360332489014,0.6293355822563171,0.1432034075260162,1.0797311067581177,1.4123315811157229,
sim,0.8468170166015625,0.7344143986701965,0.6292273998260498,0.1094867661595344,1.1766480207443235,1.5617361068725586,
sim,0.6427028775215149,0.6451507806777954,0.6289858818054199,0.109538197517395,1.0876480340957642,1.3608312606811523,
sim,0.7455728650093079,0.6366956233978271,0.6288301944732666,0.1050398647785186,0.965731918811798,1.4259333610534668,
sim,0.929549515247345,0.6387216448783875,0.6287455558776855,0.0890089645981788,1.174239158630371,1.401341676712036,
sim,0.5783233046531677,0.638881266117096,0.6287217140197754,0.1007803902029991,1.0158841609954834,1.403534770011902,
sim,0.7976733446121216,0.6413572430610657,0.6286421418190002,0.0962903797626495,1.0152148008346558,1.3837813138961792,
sim,0.8566657304763794,0.6271008253097534,0.6286278367042542,0.0847341492772102,1.1899981498718262,1.346647024154663,
sim,0.7544001936912537,0.6871668100357056,0.6285920143127441,0.1102107837796211,1.2835185527801514,1.4498008489608765,
sim,0.6580967903137207,0.6557644009590149,0.6285775899887085,0.0675574019551277,1.0515581369400024,1.4134254455566406,
sim,0.6148921251296997,0.6317963600158691,0.6285603046417236,0.0878056287765502,0.9443692564964294,1.420574188232422,
sim,0.6883177757263184,0.6353317499160767,0.6285046935081482,0.1043523699045181,0.9128331542015076,1.4277364015579224,
sim,0.4609198272228241,0.6392011642456055,0.6283748149871826,0.0769286528229713,1.2242604494094849,1.3745986223220823,
sim,0.5917928814888,0.6187102794647217,0.6283712387084961,0.089805819094181,0.9939149022102356,1.4137609004974363,
sim,0.593091607093811,0.6630086898803711,0.6283185482025146,0.050211377441883,1.2144731283187866,1.4266746044158936,
sim,0.5943118333816528,0.6218904256820679,0.6281519532203674,0.0642796829342842,1.00631582736969,1.4105520248413086,
sim,0.5668846368789673,0.6479665637016296,0.6278951168060303,0.0427890382707119,0.9938005208969116,1.4176818132400513,
sim,0.5797271728515625,0.6167765855789185,0.6278854012489319,0.090261235833168,0.9802790880203248,1.4055336713790894,
sim,0.8571675419807434,0.6197734475135803,0.6278371810913086,0.0719591826200485,1.1831161975860596,1.4073991775512695,
