[log] tee initialized at 2025-11-28 12:57:33 -> temp_Unidi_cvae_14param_2channel\cvae_20251128-125733\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Unidi_cvae_14param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Unidi_cvae_14param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 001 | Train Total=20.8045 | Val post/prior Total=27.6926/25.4946, Recon post/prior=0.9098/0.9048, KL=2.4997, | CycSim post total/iv/gm=2.5528/2.0343/0.5185, | CycSim prior total/iv/gm=2.4584/1.9589/0.4995, | CycMeas total/iv/gm=0.9565/0.7997/0.1567, | PriorBnd post/prior=2.94e-03/2.41e-03 | Best inf | Patience 1/80
[Update] best val_cyc_meas improved to 0.956493 @ epoch 1
 >> Epoch 002 | Train Total=9.2493 | Val post/prior Total=28.9898/27.5212, Recon post/prior=0.9148/0.9157, KL=1.5327, | CycSim post total/iv/gm=2.7303/2.1676/0.5627, | CycSim prior total/iv/gm=2.6598/2.1138/0.5460, | CycMeas total/iv/gm=0.7632/0.6210/0.1422, | PriorBnd post/prior=2.93e-03/2.55e-03 | Best 0.9565 | Patience 1/80
[Update] best val_cyc_meas improved to 0.763189 @ epoch 2
 >> Epoch 003 | Train Total=7.8206 | Val post/prior Total=25.3585/24.2741, Recon post/prior=0.9218/0.9289, KL=1.5280, | CycSim post total/iv/gm=2.3666/1.8758/0.4908, | CycSim prior total/iv/gm=2.3336/1.8492/0.4844, | CycMeas total/iv/gm=1.1234/0.9086/0.2148, | PriorBnd post/prior=3.47e-03/3.45e-03 | Best 0.7632 | Patience 1/80
 >> Epoch 004 | Train Total=7.1015 | Val post/prior Total=25.7968/24.6384, Recon post/prior=0.9225/0.9315, KL=1.4524, | CycSim post total/iv/gm=2.4141/1.9126/0.5015, | CycSim prior total/iv/gm=2.3696/1.8771/0.4926, | CycMeas total/iv/gm=1.1855/0.9583/0.2272, | PriorBnd post/prior=2.92e-03/2.44e-03 | Best 0.7632 | Patience 2/80
 >> Epoch 005 | Train Total=6.5644 | Val post/prior Total=26.2527/24.8847, Recon post/prior=0.9254/0.9359, KL=1.9051, | CycSim post total/iv/gm=2.4367/1.9324/0.5043, | CycSim prior total/iv/gm=2.3937/1.8980/0.4957, | CycMeas total/iv/gm=1.2153/0.9765/0.2388, | PriorBnd post/prior=2.85e-03/2.41e-03 | Best 0.7632 | Patience 3/80
 >> Epoch 006 | Train Total=6.3480 | Val post/prior Total=26.4696/25.1068, Recon post/prior=0.9311/0.9427, KL=1.9501, | CycSim post total/iv/gm=2.4556/1.9357/0.5199, | CycSim prior total/iv/gm=2.4152/1.9038/0.5114, | CycMeas total/iv/gm=1.1494/0.9191/0.2303, | PriorBnd post/prior=2.79e-03/2.26e-03 | Best 0.7632 | Patience 4/80
 >> Epoch 007 | Train Total=6.1520 | Val post/prior Total=26.4271/25.0049, Recon post/prior=0.9124/0.9236, KL=2.1487, | CycSim post total/iv/gm=2.4433/1.9327/0.5106, | CycSim prior total/iv/gm=2.4067/1.9030/0.5037, | CycMeas total/iv/gm=1.4500/1.1753/0.2747, | PriorBnd post/prior=1.78e-03/1.54e-03 | Best 0.7632 | Patience 5/80
 >> Epoch 008 | Train Total=5.9209 | Val post/prior Total=29.1958/27.8507, Recon post/prior=0.9023/0.9124, KL=2.0523, | CycSim post total/iv/gm=2.7261/2.1517/0.5744, | CycSim prior total/iv/gm=2.6926/2.1255/0.5671, | CycMeas total/iv/gm=0.9948/0.7946/0.2002, | PriorBnd post/prior=1.25e-03/1.18e-03 | Best 0.7632 | Patience 6/80
 >> Epoch 009 | Train Total=5.8016 | Val post/prior Total=27.6403/26.0950, Recon post/prior=0.9244/0.9434, KL=2.5852, | CycSim post total/iv/gm=2.5416/2.0082/0.5334, | CycSim prior total/iv/gm=2.5137/1.9847/0.5290, | CycMeas total/iv/gm=1.0567/0.8406/0.2161, | PriorBnd post/prior=1.76e-03/1.48e-03 | Best 0.7632 | Patience 7/80
 >> Epoch 010 | Train Total=5.6886 | Val post/prior Total=25.3112/23.8337, Recon post/prior=0.9234/0.9362, KL=2.2751, | CycSim post total/iv/gm=2.3243/1.8412/0.4831, | CycSim prior total/iv/gm=2.2882/1.8106/0.4775, | CycMeas total/iv/gm=1.1920/0.9534/0.2386, | PriorBnd post/prior=2.34e-03/1.90e-03 | Best 0.7632 | Patience 8/80
 >> Epoch 011 | Train Total=5.5720 | Val post/prior Total=29.8112/28.2022, Recon post/prior=0.9258/0.9398, KL=2.6289, | CycSim post total/iv/gm=2.7563/2.1810/0.5754, | CycSim prior total/iv/gm=2.7244/2.1532/0.5712, | CycMeas total/iv/gm=1.4257/1.1459/0.2798, | PriorBnd post/prior=2.10e-03/1.80e-03 | Best 0.7632 | Patience 9/80
 >> Epoch 012 | Train Total=5.5127 | Val post/prior Total=28.0852/26.7058, Recon post/prior=0.9135/0.9294, KL=2.4875, | CycSim post total/iv/gm=2.5921/2.0440/0.5481, | CycSim prior total/iv/gm=2.5758/2.0281/0.5477, | CycMeas total/iv/gm=1.2867/1.0282/0.2586, | PriorBnd post/prior=1.07e-03/9.82e-04 | Best 0.7632 | Patience 10/80
 >> Epoch 013 | Train Total=5.3927 | Val post/prior Total=27.4326/25.8634, Recon post/prior=0.9232/0.9371, KL=2.6737, | CycSim post total/iv/gm=2.5165/1.9941/0.5224, | CycSim prior total/iv/gm=2.4908/1.9719/0.5190, | CycMeas total/iv/gm=1.1526/0.9061/0.2465, | PriorBnd post/prior=1.73e-03/1.63e-03 | Best 0.7632 | Patience 11/80
 >> Epoch 014 | Train Total=5.3905 | Val post/prior Total=26.6257/25.1508, Recon post/prior=0.9178/0.9323, KL=2.2451, | CycSim post total/iv/gm=2.4578/1.9458/0.5121, | CycSim prior total/iv/gm=2.4202/1.9141/0.5061, | CycMeas total/iv/gm=0.9255/0.7233/0.2022, | PriorBnd post/prior=1.04e-03/1.18e-03 | Best 0.7632 | Patience 12/80
 >> Epoch 015 | Train Total=5.2684 | Val post/prior Total=30.1507/28.6767, Recon post/prior=0.9190/0.9344, KL=2.4580, | CycSim post total/iv/gm=2.7995/2.2094/0.5901, | CycSim prior total/iv/gm=2.7727/2.1855/0.5872, | CycMeas total/iv/gm=0.7158/0.5503/0.1655, | PriorBnd post/prior=1.22e-03/1.46e-03 | Best 0.7632 | Patience 13/80
[Update] best val_cyc_meas improved to 0.715778 @ epoch 15
 >> Epoch 016 | Train Total=5.4209 | Val post/prior Total=27.7882/25.9090, Recon post/prior=0.9351/0.9567, KL=3.4159, | CycSim post total/iv/gm=2.5137/1.9857/0.5280, | CycSim prior total/iv/gm=2.4934/1.9664/0.5270, | CycMeas total/iv/gm=0.8825/0.6825/0.2000, | PriorBnd post/prior=1.46e-03/1.98e-03 | Best 0.7158 | Patience 1/80
 >> Epoch 017 | Train Total=5.1961 | Val post/prior Total=26.6395/25.0184, Recon post/prior=0.9155/0.9313, KL=2.9601, | CycSim post total/iv/gm=2.4237/1.9188/0.5049, | CycSim prior total/iv/gm=2.4065/1.9052/0.5013, | CycMeas total/iv/gm=1.2581/0.9890/0.2691, | PriorBnd post/prior=1.25e-03/1.48e-03 | Best 0.7158 | Patience 2/80
 >> Epoch 018 | Train Total=5.2765 | Val post/prior Total=29.9517/28.5032, Recon post/prior=0.9083/0.9184, KL=2.3985, | CycSim post total/iv/gm=2.7837/2.1951/0.5886, | CycSim prior total/iv/gm=2.7566/2.1736/0.5830, | CycMeas total/iv/gm=0.9309/0.7348/0.1961, | PriorBnd post/prior=1.17e-03/1.36e-03 | Best 0.7158 | Patience 3/80
 >> Epoch 019 | Train Total=5.1675 | Val post/prior Total=30.1740/28.4570, Recon post/prior=0.9218/0.9336, KL=2.5849, | CycSim post total/iv/gm=2.7952/2.2078/0.5874, | CycSim prior total/iv/gm=2.7508/2.1755/0.5753, | CycMeas total/iv/gm=0.5662/0.4303/0.1360, | PriorBnd post/prior=1.35e-03/1.56e-03 | Best 0.7158 | Patience 4/80
[Update] best val_cyc_meas improved to 0.566232 @ epoch 19
 >> Epoch 020 | Train Total=5.1011 | Val post/prior Total=29.2937/27.2805, Recon post/prior=0.9118/0.9173, KL=2.5729, | CycSim post total/iv/gm=2.7088/2.1392/0.5697, | CycSim prior total/iv/gm=2.6339/2.0822/0.5517, | CycMeas total/iv/gm=1.2828/1.0225/0.2603, | PriorBnd post/prior=1.43e-03/1.55e-03 | Best 0.5662 | Patience 1/80
 >> Epoch 021 | Train Total=5.0783 | Val post/prior Total=29.2490/27.2884, Recon post/prior=0.9134/0.9201, KL=2.4095, | CycSim post total/iv/gm=2.7123/2.1379/0.5745, | CycSim prior total/iv/gm=2.6349/2.0799/0.5550, | CycMeas total/iv/gm=0.8175/0.6325/0.1849, | PriorBnd post/prior=1.50e-03/1.60e-03 | Best 0.5662 | Patience 2/80
 >> Epoch 022 | Train Total=5.1455 | Val post/prior Total=32.0775/28.8858, Recon post/prior=0.9012/0.9082, KL=2.3826, | CycSim post total/iv/gm=2.9978/2.3538/0.6440, | CycSim prior total/iv/gm=2.7961/2.1973/0.5988, | CycMeas total/iv/gm=0.6728/0.5177/0.1551, | PriorBnd post/prior=1.33e-03/1.48e-03 | Best 0.5662 | Patience 3/80
 >> Epoch 023 | Train Total=5.2219 | Val post/prior Total=33.6866/30.9659, Recon post/prior=0.8980/0.9024, KL=2.4620, | CycSim post total/iv/gm=3.1551/2.4787/0.6764, | CycSim prior total/iv/gm=3.0045/2.3626/0.6420, | CycMeas total/iv/gm=0.7385/0.5746/0.1639, | PriorBnd post/prior=1.11e-03/1.19e-03 | Best 0.5662 | Patience 4/80
 >> Epoch 024 | Train Total=4.9656 | Val post/prior Total=27.2260/25.0506, Recon post/prior=0.9032/0.9091, KL=2.4271, | CycSim post total/iv/gm=2.5103/1.9729/0.5373, | CycSim prior total/iv/gm=2.4123/1.8989/0.5134, | CycMeas total/iv/gm=0.7018/0.5523/0.1495, | PriorBnd post/prior=6.84e-04/7.13e-04 | Best 0.5662 | Patience 5/80
 >> Epoch 025 | Train Total=5.0646 | Val post/prior Total=34.3494/31.4798, Recon post/prior=0.8897/0.8924, KL=2.3242, | CycSim post total/iv/gm=3.2291/2.5417/0.6875, | CycSim prior total/iv/gm=3.0569/2.4074/0.6495, | CycMeas total/iv/gm=0.7570/0.5916/0.1654, | PriorBnd post/prior=1.11e-03/1.17e-03 | Best 0.5662 | Patience 6/80
 >> Epoch 026 | Train Total=5.1426 | Val post/prior Total=30.3556/28.0763, Recon post/prior=0.9266/0.9296, KL=2.5509, | CycSim post total/iv/gm=2.8146/2.2121/0.6025, | CycSim prior total/iv/gm=2.7128/2.1350/0.5778, | CycMeas total/iv/gm=0.6056/0.4635/0.1421, | PriorBnd post/prior=1.38e-03/1.48e-03 | Best 0.5662 | Patience 7/80
 >> Epoch 027 | Train Total=5.2518 | Val post/prior Total=29.4565/26.7468, Recon post/prior=0.9145/0.9179, KL=2.7773, | CycSim post total/iv/gm=2.7146/2.1357/0.5789, | CycSim prior total/iv/gm=2.5810/2.0332/0.5477, | CycMeas total/iv/gm=0.6495/0.4983/0.1512, | PriorBnd post/prior=1.11e-03/1.23e-03 | Best 0.5662 | Patience 8/80
