[log] tee initialized at 2025-11-28 16:50:57 -> temp_Unidi_cvae_14param_2channel\cvae_20251128-165057\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Unidi_cvae_14param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Unidi_cvae_14param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 001 | Train Total=26.3495 | Val post/prior Total=11.6934/10.1313, Recon post/prior=0.9053/0.8903, KL=3.0766, | CycSim post total/iv/gm=0.9245/0.4099/0.5146, | CycSim prior total/iv/gm=0.9237/0.4092/0.5144, | CycMeas total/iv/gm=0.2698/0.1330/0.1368, | PriorBnd post/prior=4.41e-04/2.37e-04 | Best inf | Patience 1/80
[Update] best val_cyc_meas improved to 0.269841 @ epoch 1
 >> Epoch 002 | Train Total=11.5128 | Val post/prior Total=11.6664/10.6638, Recon post/prior=0.9188/0.9168, KL=1.8454, | CycSim post total/iv/gm=0.9819/0.4359/0.5460, | CycSim prior total/iv/gm=0.9741/0.4324/0.5417, | CycMeas total/iv/gm=0.1709/0.0872/0.0837, | PriorBnd post/prior=1.38e-03/1.76e-03 | Best 0.2698 | Patience 1/80
[Update] best val_cyc_meas improved to 0.170887 @ epoch 2
 >> Epoch 003 | Train Total=9.8064 | Val post/prior Total=11.2420/10.3862, Recon post/prior=0.9231/0.9256, KL=1.5542, | CycSim post total/iv/gm=0.9536/0.4228/0.5308, | CycSim prior total/iv/gm=0.9454/0.4190/0.5264, | CycMeas total/iv/gm=0.2834/0.1315/0.1519, | PriorBnd post/prior=1.03e-03/1.05e-03 | Best 0.1709 | Patience 1/80
 >> Epoch 004 | Train Total=8.8967 | Val post/prior Total=10.2773/9.5265, Recon post/prior=0.9151/0.9153, KL=1.3182, | CycSim post total/iv/gm=0.8697/0.3830/0.4867, | CycSim prior total/iv/gm=0.8604/0.3788/0.4817, | CycMeas total/iv/gm=0.3359/0.1561/0.1797, | PriorBnd post/prior=4.58e-04/2.75e-04 | Best 0.1709 | Patience 2/80
 >> Epoch 005 | Train Total=8.2673 | Val post/prior Total=11.7914/11.0421, Recon post/prior=0.9222/0.9277, KL=1.4537, | CycSim post total/iv/gm=1.0136/0.4455/0.5681, | CycSim prior total/iv/gm=1.0107/0.4437/0.5670, | CycMeas total/iv/gm=0.3579/0.1608/0.1972, | PriorBnd post/prior=6.31e-04/4.12e-04 | Best 0.1709 | Patience 3/80
 >> Epoch 006 | Train Total=8.0130 | Val post/prior Total=9.8035/9.0229, Recon post/prior=0.9206/0.9277, KL=1.4621, | CycSim post total/iv/gm=0.8145/0.3586/0.4559, | CycSim prior total/iv/gm=0.8087/0.3555/0.4533, | CycMeas total/iv/gm=0.2941/0.1322/0.1619, | PriorBnd post/prior=6.60e-04/5.00e-04 | Best 0.1709 | Patience 4/80
 >> Epoch 007 | Train Total=7.5764 | Val post/prior Total=10.1133/9.4331, Recon post/prior=0.9048/0.9100, KL=1.2752, | CycSim post total/iv/gm=0.8565/0.3768/0.4797, | CycSim prior total/iv/gm=0.8516/0.3743/0.4773, | CycMeas total/iv/gm=0.2550/0.1104/0.1447, | PriorBnd post/prior=5.20e-04/3.93e-04 | Best 0.1709 | Patience 5/80
 >> Epoch 008 | Train Total=7.4315 | Val post/prior Total=11.1617/10.4279, Recon post/prior=0.9185/0.9253, KL=1.4487, | CycSim post total/iv/gm=0.9512/0.4150/0.5362, | CycSim prior total/iv/gm=0.9494/0.4130/0.5364, | CycMeas total/iv/gm=0.3558/0.1589/0.1969, | PriorBnd post/prior=7.83e-04/6.17e-04 | Best 0.1709 | Patience 6/80
 >> Epoch 009 | Train Total=7.0756 | Val post/prior Total=10.9156/10.0497, Recon post/prior=0.8978/0.9034, KL=1.5650, | CycSim post total/iv/gm=0.9229/0.4013/0.5216, | CycSim prior total/iv/gm=0.9138/0.3968/0.5171, | CycMeas total/iv/gm=0.2703/0.1157/0.1546, | PriorBnd post/prior=3.63e-04/3.38e-04 | Best 0.1709 | Patience 7/80
 >> Epoch 010 | Train Total=6.9019 | Val post/prior Total=11.2016/10.3999, Recon post/prior=0.9085/0.9146, KL=1.5705, | CycSim post total/iv/gm=0.9501/0.4065/0.5437, | CycSim prior total/iv/gm=0.9476/0.4042/0.5434, | CycMeas total/iv/gm=0.3860/0.1722/0.2138, | PriorBnd post/prior=4.36e-04/4.52e-04 | Best 0.1709 | Patience 8/80
 >> Epoch 011 | Train Total=6.8329 | Val post/prior Total=10.5222/9.7340, Recon post/prior=0.9042/0.9107, KL=1.3344, | CycSim post total/iv/gm=0.8944/0.3864/0.5081, | CycSim prior total/iv/gm=0.8814/0.3797/0.5017, | CycMeas total/iv/gm=0.3675/0.1627/0.2048, | PriorBnd post/prior=3.61e-04/3.95e-04 | Best 0.1709 | Patience 9/80
 >> Epoch 012 | Train Total=6.8462 | Val post/prior Total=11.5427/10.6308, Recon post/prior=0.9155/0.9221, KL=1.5190, | CycSim post total/iv/gm=0.9861/0.4267/0.5594, | CycSim prior total/iv/gm=0.9699/0.4186/0.5513, | CycMeas total/iv/gm=0.3059/0.1287/0.1772, | PriorBnd post/prior=6.38e-04/5.77e-04 | Best 0.1709 | Patience 10/80
 >> Epoch 013 | Train Total=6.4170 | Val post/prior Total=11.2978/10.4275, Recon post/prior=0.8990/0.9048, KL=1.3884, | CycSim post total/iv/gm=0.9698/0.4176/0.5522, | CycSim prior total/iv/gm=0.9513/0.4086/0.5427, | CycMeas total/iv/gm=0.3406/0.1454/0.1953, | PriorBnd post/prior=2.98e-04/3.26e-04 | Best 0.1709 | Patience 11/80
 >> Epoch 014 | Train Total=6.4317 | Val post/prior Total=12.2047/11.3593, Recon post/prior=0.9161/0.9232, KL=1.6233, | CycSim post total/iv/gm=1.0470/0.4509/0.5961, | CycSim prior total/iv/gm=1.0426/0.4474/0.5952, | CycMeas total/iv/gm=0.3228/0.1352/0.1877, | PriorBnd post/prior=6.59e-04/6.22e-04 | Best 0.1709 | Patience 12/80
 >> Epoch 015 | Train Total=6.4578 | Val post/prior Total=11.0595/10.2253, Recon post/prior=0.9082/0.9122, KL=1.3735, | CycSim post total/iv/gm=0.9458/0.4093/0.5365, | CycSim prior total/iv/gm=0.9302/0.4017/0.5285, | CycMeas total/iv/gm=0.4122/0.1799/0.2323, | PriorBnd post/prior=8.47e-04/8.82e-04 | Best 0.1709 | Patience 13/80
 >> Epoch 016 | Train Total=6.4536 | Val post/prior Total=12.1363/11.1386, Recon post/prior=0.9128/0.9201, KL=1.8953, | CycSim post total/iv/gm=1.0269/0.4433/0.5836, | CycSim prior total/iv/gm=1.0208/0.4399/0.5810, | CycMeas total/iv/gm=0.2765/0.1136/0.1629, | PriorBnd post/prior=8.09e-04/9.23e-04 | Best 0.1709 | Patience 14/80
 >> Epoch 017 | Train Total=6.2899 | Val post/prior Total=11.4422/10.4498, Recon post/prior=0.9133/0.9166, KL=1.5436, | CycSim post total/iv/gm=0.9750/0.4143/0.5607, | CycSim prior total/iv/gm=0.9522/0.4051/0.5471, | CycMeas total/iv/gm=0.3434/0.1407/0.2026, | PriorBnd post/prior=1.09e-03/1.14e-03 | Best 0.1709 | Patience 15/80
 >> Epoch 018 | Train Total=6.2814 | Val post/prior Total=12.3000/11.2578, Recon post/prior=0.9217/0.9258, KL=1.8149, | CycSim post total/iv/gm=1.0464/0.4525/0.5939, | CycSim prior total/iv/gm=1.0321/0.4463/0.5858, | CycMeas total/iv/gm=0.2782/0.1110/0.1671, | PriorBnd post/prior=1.23e-03/1.30e-03 | Best 0.1709 | Patience 16/80
 >> Epoch 019 | Train Total=6.0628 | Val post/prior Total=12.1802/11.1939, Recon post/prior=0.9122/0.9167, KL=1.6581, | CycSim post total/iv/gm=1.0432/0.4471/0.5961, | CycSim prior total/iv/gm=1.0267/0.4400/0.5867, | CycMeas total/iv/gm=0.2623/0.1059/0.1564, | PriorBnd post/prior=8.72e-04/9.45e-04 | Best 0.1709 | Patience 17/80
 >> Epoch 020 | Train Total=6.1488 | Val post/prior Total=11.3643/10.2472, Recon post/prior=0.9017/0.9055, KL=1.7864, | CycSim post total/iv/gm=0.9563/0.4167/0.5396, | CycSim prior total/iv/gm=0.9331/0.4089/0.5242, | CycMeas total/iv/gm=0.3074/0.1274/0.1799, | PriorBnd post/prior=1.07e-03/1.18e-03 | Best 0.1709 | Patience 18/80
 >> Epoch 021 | Train Total=6.0895 | Val post/prior Total=12.8382/11.3039, Recon post/prior=0.9134/0.9151, KL=1.6953, | CycSim post total/iv/gm=1.1070/0.4715/0.6355, | CycSim prior total/iv/gm=1.0377/0.4440/0.5937, | CycMeas total/iv/gm=0.3555/0.1493/0.2061, | PriorBnd post/prior=1.05e-03/1.13e-03 | Best 0.1709 | Patience 19/80
 >> Epoch 022 | Train Total=6.3851 | Val post/prior Total=12.2397/11.0089, Recon post/prior=0.9174/0.9206, KL=1.7883, | CycSim post total/iv/gm=1.0421/0.4462/0.5959, | CycSim prior total/iv/gm=1.0076/0.4327/0.5749, | CycMeas total/iv/gm=0.3153/0.1295/0.1859, | PriorBnd post/prior=1.45e-03/1.62e-03 | Best 0.1709 | Patience 20/80
 >> Epoch 023 | Train Total=5.9281 | Val post/prior Total=12.1536/10.7192, Recon post/prior=0.9312/0.9371, KL=2.3325, | CycSim post total/iv/gm=1.0048/0.4340/0.5709, | CycSim prior total/iv/gm=0.9769/0.4229/0.5540, | CycMeas total/iv/gm=0.2984/0.1232/0.1753, | PriorBnd post/prior=1.64e-03/1.70e-03 | Best 0.1709 | Patience 21/80
 >> Epoch 024 | Train Total=6.0518 | Val post/prior Total=13.2294/11.5773, Recon post/prior=0.9377/0.9443, KL=2.2322, | CycSim post total/iv/gm=1.1167/0.4807/0.6360, | CycSim prior total/iv/gm=1.0619/0.4595/0.6025, | CycMeas total/iv/gm=0.3209/0.1350/0.1859, | PriorBnd post/prior=2.40e-03/2.30e-03 | Best 0.1709 | Patience 22/80
 >> Epoch 025 | Train Total=6.1784 | Val post/prior Total=13.2032/11.4283, Recon post/prior=0.9279/0.9323, KL=1.6836, | CycSim post total/iv/gm=1.1426/0.4891/0.6535, | CycSim prior total/iv/gm=1.0485/0.4511/0.5974, | CycMeas total/iv/gm=0.2095/0.0840/0.1254, | PriorBnd post/prior=1.87e-03/1.73e-03 | Best 0.1709 | Patience 23/80
 >> Epoch 026 | Train Total=5.9760 | Val post/prior Total=12.2404/10.4833, Recon post/prior=0.9565/0.9683, KL=2.5967, | CycSim post total/iv/gm=0.9977/0.4297/0.5679, | CycSim prior total/iv/gm=0.9501/0.4112/0.5388, | CycMeas total/iv/gm=0.2817/0.1195/0.1621, | PriorBnd post/prior=2.18e-03/2.12e-03 | Best 0.1709 | Patience 24/80
 >> Epoch 027 | Train Total=6.0082 | Val post/prior Total=11.7248/9.8877, Recon post/prior=0.9556/0.9674, KL=2.2803, | CycSim post total/iv/gm=0.9620/0.4061/0.5559, | CycSim prior total/iv/gm=0.8906/0.3776/0.5130, | CycMeas total/iv/gm=0.2607/0.1096/0.1511, | PriorBnd post/prior=2.70e-03/2.80e-03 | Best 0.1709 | Patience 25/80
 >> Epoch 028 | Train Total=6.0229 | Val post/prior Total=12.8103/10.7171, Recon post/prior=0.9606/0.9661, KL=2.1038, | CycSim post total/iv/gm=1.0789/0.4537/0.6252, | CycSim prior total/iv/gm=0.9738/0.4114/0.5624, | CycMeas total/iv/gm=0.1935/0.0781/0.1155, | PriorBnd post/prior=2.21e-03/2.19e-03 | Best 0.1709 | Patience 26/80
