[log] tee initialized at 2025-11-28 15:12:24 -> temp_Unidi_cvae_14param_2channel\session_20251128-151224.log
Using CUDA device 0: NVIDIA GeForce RTX 4060 Laptop GPU
[log] tee initialized at 2025-11-28 15:12:29 -> temp_Unidi_cvae_14param_2channel\cvae_20251128-151229\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Unidi_cvae_14param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Unidi_cvae_14param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 001 | Train Total=11.6545 | Val post/prior Total=12.9985/12.2988, Recon post/prior=0.9167/0.9001, KL=2.5250, | CycSim post total/iv/gm=1.0814/0.4765/0.6049, | CycSim prior total/iv/gm=1.1394/0.5013/0.6381, | CycMeas total/iv/gm=0.4349/0.2084/0.2265, | PriorBnd post/prior=6.17e-04/2.43e-04 | Best inf | Patience 1/80
[Update] best val_cyc_meas improved to 0.434878 @ epoch 1
 >> Epoch 002 | Train Total=5.8568 | Val post/prior Total=11.2525/10.4776, Recon post/prior=0.9116/0.9030, KL=1.1327, | CycSim post total/iv/gm=0.9770/0.4326/0.5444, | CycSim prior total/iv/gm=0.9569/0.4237/0.5333, | CycMeas total/iv/gm=0.2584/0.1336/0.1247, | PriorBnd post/prior=1.32e-04/3.80e-05 | Best 0.4349 | Patience 1/80
[Update] best val_cyc_meas improved to 0.258367 @ epoch 2
 >> Epoch 003 | Train Total=4.9788 | Val post/prior Total=9.7547/9.2364, Recon post/prior=0.9224/0.9151, KL=0.8536, | CycSim post total/iv/gm=0.8400/0.3749/0.4650, | CycSim prior total/iv/gm=0.8315/0.3712/0.4604, | CycMeas total/iv/gm=0.2913/0.1438/0.1475, | PriorBnd post/prior=4.17e-04/1.71e-04 | Best 0.2584 | Patience 1/80
 >> Epoch 004 | Train Total=4.6299 | Val post/prior Total=9.9014/9.4168, Recon post/prior=0.9181/0.9148, KL=0.8158, | CycSim post total/iv/gm=0.8570/0.3777/0.4793, | CycSim prior total/iv/gm=0.8496/0.3739/0.4757, | CycMeas total/iv/gm=0.2881/0.1319/0.1561, | PriorBnd post/prior=4.10e-04/8.63e-05 | Best 0.2584 | Patience 2/80
 >> Epoch 005 | Train Total=4.4267 | Val post/prior Total=11.5777/11.0914, Recon post/prior=0.9158/0.9142, KL=0.8500, | CycSim post total/iv/gm=1.0231/0.4460/0.5771, | CycSim prior total/iv/gm=1.0170/0.4431/0.5739, | CycMeas total/iv/gm=0.3935/0.1759/0.2176, | PriorBnd post/prior=2.62e-04/2.00e-04 | Best 0.2584 | Patience 3/80
 >> Epoch 006 | Train Total=4.2887 | Val post/prior Total=9.5760/8.9276, Recon post/prior=0.9134/0.9137, KL=0.8551, | CycSim post total/iv/gm=0.8229/0.3573/0.4656, | CycSim prior total/iv/gm=0.8006/0.3472/0.4534, | CycMeas total/iv/gm=0.4253/0.1906/0.2347, | PriorBnd post/prior=3.15e-04/1.32e-04 | Best 0.2584 | Patience 4/80
 >> Epoch 007 | Train Total=4.1288 | Val post/prior Total=9.8871/9.1207, Recon post/prior=0.9042/0.9017, KL=1.0876, | CycSim post total/iv/gm=0.8433/0.3647/0.4786, | CycSim prior total/iv/gm=0.8211/0.3545/0.4666, | CycMeas total/iv/gm=0.4553/0.2043/0.2510, | PriorBnd post/prior=1.88e-04/1.86e-04 | Best 0.2584 | Patience 5/80
 >> Epoch 008 | Train Total=4.0746 | Val post/prior Total=10.4765/9.6319, Recon post/prior=0.9111/0.9111, KL=1.1295, | CycSim post total/iv/gm=0.8995/0.3899/0.5096, | CycSim prior total/iv/gm=0.8712/0.3773/0.4939, | CycMeas total/iv/gm=0.4232/0.1902/0.2330, | PriorBnd post/prior=3.73e-04/3.52e-04 | Best 0.2584 | Patience 6/80
 >> Epoch 009 | Train Total=3.9437 | Val post/prior Total=10.6120/9.7131, Recon post/prior=0.9056/0.9059, KL=1.2897, | CycSim post total/iv/gm=0.9055/0.3878/0.5177, | CycSim prior total/iv/gm=0.8798/0.3763/0.5035, | CycMeas total/iv/gm=0.4484/0.2035/0.2449, | PriorBnd post/prior=3.56e-04/3.73e-04 | Best 0.2584 | Patience 7/80
 >> Epoch 010 | Train Total=3.8959 | Val post/prior Total=11.4068/10.4637, Recon post/prior=0.9209/0.9230, KL=1.4304, | CycSim post total/iv/gm=0.9764/0.4177/0.5587, | CycSim prior total/iv/gm=0.9531/0.4072/0.5459, | CycMeas total/iv/gm=0.4476/0.2008/0.2468, | PriorBnd post/prior=5.86e-04/6.31e-04 | Best 0.2584 | Patience 8/80
 >> Epoch 011 | Train Total=3.8362 | Val post/prior Total=11.4809/10.6673, Recon post/prior=0.9126/0.9159, KL=1.0970, | CycSim post total/iv/gm=1.0013/0.4310/0.5704, | CycSim prior total/iv/gm=0.9742/0.4188/0.5554, | CycMeas total/iv/gm=0.4072/0.1803/0.2269, | PriorBnd post/prior=3.92e-04/4.46e-04 | Best 0.2584 | Patience 9/80
 >> Epoch 012 | Train Total=3.8570 | Val post/prior Total=12.1975/11.3798, Recon post/prior=0.9303/0.9347, KL=1.1425, | CycSim post total/iv/gm=1.0689/0.4586/0.6103, | CycSim prior total/iv/gm=1.0434/0.4473/0.5961, | CycMeas total/iv/gm=0.5034/0.2275/0.2759, | PriorBnd post/prior=8.77e-04/8.82e-04 | Best 0.2584 | Patience 10/80
 >> Epoch 013 | Train Total=3.7189 | Val post/prior Total=11.0628/10.4506, Recon post/prior=0.9127/0.9167, KL=0.7363, | CycSim post total/iv/gm=0.9775/0.4211/0.5564, | CycSim prior total/iv/gm=0.9524/0.4098/0.5426, | CycMeas total/iv/gm=0.3668/0.1610/0.2058, | PriorBnd post/prior=5.04e-04/5.53e-04 | Best 0.2584 | Patience 11/80
 >> Epoch 014 | Train Total=3.7199 | Val post/prior Total=11.0848/10.4843, Recon post/prior=0.9090/0.9130, KL=0.7874, | CycSim post total/iv/gm=0.9776/0.4186/0.5589, | CycSim prior total/iv/gm=0.9561/0.4091/0.5470, | CycMeas total/iv/gm=0.3819/0.1679/0.2140, | PriorBnd post/prior=3.19e-04/3.55e-04 | Best 0.2584 | Patience 12/80
