[log] tee initialized at 2025-11-30 17:56:35 -> /content/drive/MyDrive/DL_Training/ASM_HEMT/model_Uni_2Channel/session_20251130-175635.log
Using CUDA device 0: NVIDIA A100-SXM4-40GB
[log] tee initialized at 2025-11-30 17:56:43 -> /content/drive/MyDrive/DL_Training/ASM_HEMT/model_Uni_2Channel/cvae_20251130-175643/train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from /content/drive/MyDrive/DL_Training/ASM_HEMT/model_Uni_2Channel/proxy_dual_bigger
[L_trust] using 20000 ref rows from /content/drive/MyDrive/DL_Training/ASM_HEMT/model_Uni_2Channel/proxy_dual_bigger/proxy_Ytr_norm.npy
/usr/local/lib/python3.12/dist-packages/torch/optim/lr_scheduler.py:192: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 013 | Train Total=4.8488 | Val post/prior Total=14.0055/12.3938, Recon post/prior=0.9053/0.9050, KL=1.8230, | CycSim post total/iv/gm=1.2182/0.5251/0.6931, | CycSim prior total/iv/gm=1.1479/0.4974/0.6505, | CycMeas total/iv/gm=0.2922/0.1244/0.1678, | PriorBnd post/prior=1.81e-03/1.85e-03 | Best 0.2276 | Patience 11/100
 >> Epoch 014 | Train Total=4.7435 | Val post/prior Total=16.8596/15.1145, Recon post/prior=0.9020/0.9025, KL=1.3218, | CycSim post total/iv/gm=1.5290/0.6582/0.8708, | CycSim prior total/iv/gm=1.4203/0.6132/0.8072, | CycMeas total/iv/gm=0.1810/0.0732/0.1078, | PriorBnd post/prior=1.62e-03/1.63e-03 | Best 0.2276 | Patience 12/100
[Update] best val_cyc_meas improved to 0.181019 @ epoch 14
 >> Epoch 015 | Train Total=4.7669 | Val post/prior Total=17.5387/15.1542, Recon post/prior=0.9163/0.9170, KL=1.8851, | CycSim post total/iv/gm=1.5673/0.6726/0.8947, | CycSim prior total/iv/gm=1.4227/0.6125/0.8102, | CycMeas total/iv/gm=0.2843/0.1224/0.1619, | PriorBnd post/prior=2.95e-03/2.79e-03 | Best 0.1810 | Patience 1/100
 >> Epoch 016 | Train Total=4.8011 | Val post/prior Total=15.8530/13.3102, Recon post/prior=0.9229/0.9239, KL=2.2873, | CycSim post total/iv/gm=1.3779/0.5882/0.7897, | CycSim prior total/iv/gm=1.2375/0.5303/0.7072, | CycMeas total/iv/gm=0.3296/0.1444/0.1852, | PriorBnd post/prior=3.90e-03/3.53e-03 | Best 0.1810 | Patience 2/100
 >> Epoch 017 | Train Total=4.6177 | Val post/prior Total=18.7739/15.8642, Recon post/prior=0.9261/0.9266, KL=1.4406, | CycSim post total/iv/gm=1.7120/0.7370/0.9750, | CycSim prior total/iv/gm=1.4927/0.6437/0.8490, | CycMeas total/iv/gm=0.2982/0.1265/0.1716, | PriorBnd post/prior=3.43e-03/3.26e-03 | Best 0.1810 | Patience 3/100
 >> Epoch 018 | Train Total=4.7377 | Val post/prior Total=14.5673/11.6310, Recon post/prior=0.9392/0.9429, KL=3.6834, | CycSim post total/iv/gm=1.1778/0.5053/0.6725, | CycSim prior total/iv/gm=1.0676/0.4601/0.6074, | CycMeas total/iv/gm=0.3176/0.1364/0.1812, | PriorBnd post/prior=3.98e-03/3.73e-03 | Best 0.1810 | Patience 4/100
 >> Epoch 019 | Train Total=4.7496 | Val post/prior Total=21.6834/17.3700, Recon post/prior=0.9307/0.9300, KL=3.3122, | CycSim post total/iv/gm=1.9089/0.8147/1.0942, | CycSim prior total/iv/gm=1.6430/0.7020/0.9410, | CycMeas total/iv/gm=0.1995/0.0827/0.1168, | PriorBnd post/prior=3.29e-03/3.02e-03 | Best 0.1810 | Patience 5/100
 >> Epoch 020 | Train Total=4.7695 | Val post/prior Total=23.9088/20.8128, Recon post/prior=0.9127/0.9131, KL=2.2705, | CycSim post total/iv/gm=2.1854/0.9459/1.2395, | CycSim prior total/iv/gm=1.9890/0.8609/1.1281, | CycMeas total/iv/gm=0.2251/0.1006/0.1245, | PriorBnd post/prior=2.65e-03/2.60e-03 | Best 0.1810 | Patience 6/100
 >> Epoch 021 | Train Total=4.6978 | Val post/prior Total=24.7994/21.9875, Recon post/prior=0.9096/0.9097, KL=1.8754, | CycSim post total/iv/gm=2.2945/0.9784/1.3162, | CycSim prior total/iv/gm=2.1068/0.8977/1.2091, | CycMeas total/iv/gm=0.2432/0.1086/0.1346, | PriorBnd post/prior=2.22e-03/2.05e-03 | Best 0.1810 | Patience 7/100
 >> Epoch 022 | Train Total=4.8020 | Val post/prior Total=24.4921/21.3452, Recon post/prior=0.9224/0.9220, KL=1.9623, | CycSim post total/iv/gm=2.2582/0.9592/1.2990, | CycSim prior total/iv/gm=2.0414/0.8676/1.1739, | CycMeas total/iv/gm=0.1209/0.0482/0.0727, | PriorBnd post/prior=2.15e-03/2.20e-03 | Best 0.1810 | Patience 8/100
[Update] best val_cyc_meas improved to 0.120946 @ epoch 22
 >> Epoch 023 | Train Total=4.6795 | Val post/prior Total=22.3126/18.9668, Recon post/prior=0.9186/0.9188, KL=2.7115, | CycSim post total/iv/gm=2.0031/0.8568/1.1464, | CycSim prior total/iv/gm=1.8038/0.7723/1.0315, | CycMeas total/iv/gm=0.1904/0.0841/0.1062, | PriorBnd post/prior=1.98e-03/1.86e-03 | Best 0.1209 | Patience 1/100
 >> Epoch 024 | Train Total=4.7529 | Val post/prior Total=20.9998/18.4723, Recon post/prior=0.9174/0.9190, KL=2.3620, | CycSim post total/iv/gm=1.8894/0.8103/1.0791, | CycSim prior total/iv/gm=1.7543/0.7524/1.0019, | CycMeas total/iv/gm=0.2164/0.0889/0.1275, | PriorBnd post/prior=2.51e-03/2.47e-03 | Best 0.1209 | Patience 2/100
 >> Epoch 025 | Train Total=4.6557 | Val post/prior Total=15.8626/12.8894, Recon post/prior=0.9083/0.9092, KL=4.1127, | CycSim post total/iv/gm=1.2891/0.5462/0.7429, | CycSim prior total/iv/gm=1.1970/0.5074/0.6896, | CycMeas total/iv/gm=0.2116/0.0894/0.1222, | PriorBnd post/prior=1.65e-03/1.80e-03 | Best 0.1209 | Patience 3/100
 >> Epoch 026 | Train Total=4.9166 | Val post/prior Total=15.4086/12.9281, Recon post/prior=0.8910/0.8934, KL=2.6422, | CycSim post total/iv/gm=1.3190/0.5526/0.7664, | CycSim prior total/iv/gm=1.2023/0.5043/0.6981, | CycMeas total/iv/gm=0.2953/0.1314/0.1638, | PriorBnd post/prior=5.78e-04/6.58e-04 | Best 0.1209 | Patience 4/100
 >> Epoch 027 | Train Total=4.8270 | Val post/prior Total=16.8510/14.0995, Recon post/prior=0.9019/0.9040, KL=2.6833, | CycSim post total/iv/gm=1.4601/0.6136/0.8465, | CycSim prior total/iv/gm=1.3185/0.5547/0.7638, | CycMeas total/iv/gm=0.2041/0.0849/0.1193, | PriorBnd post/prior=1.02e-03/1.12e-03 | Best 0.1209 | Patience 5/100
 >> Epoch 028 | Train Total=4.9730 | Val post/prior Total=17.1188/14.4278, Recon post/prior=0.9283/0.9320, KL=2.9563, | CycSim post total/iv/gm=1.4705/0.6271/0.8433, | CycSim prior total/iv/gm=1.3485/0.5765/0.7721, | CycMeas total/iv/gm=0.1473/0.0614/0.0858, | PriorBnd post/prior=2.50e-03/2.42e-03 | Best 0.1209 | Patience 6/100
 >> Epoch 029 | Train Total=4.8621 | Val post/prior Total=15.6322/12.6389, Recon post/prior=0.9316/0.9369, KL=3.9521, | CycSim post total/iv/gm=1.2717/0.5451/0.7266, | CycSim prior total/iv/gm=1.1689/0.5027/0.6662, | CycMeas total/iv/gm=0.2439/0.1072/0.1367, | PriorBnd post/prior=2.21e-03/2.14e-03 | Best 0.1209 | Patience 7/100
 >> Epoch 030 | Train Total=4.9173 | Val post/prior Total=20.7105/17.4450, Recon post/prior=0.9491/0.9541, KL=3.0049, | CycSim post total/iv/gm=1.8251/0.7755/1.0495, | CycSim prior total/iv/gm=1.6478/0.7013/0.9465, | CycMeas total/iv/gm=0.2091/0.0861/0.1230, | PriorBnd post/prior=4.18e-03/4.09e-03 | Best 0.1209 | Patience 8/100
 >> Epoch 031 | Train Total=4.9981 | Val post/prior Total=17.2346/14.0923, Recon post/prior=0.9151/0.9195, KL=2.4309, | CycSim post total/iv/gm=1.5097/0.6416/0.8681, | CycSim prior total/iv/gm=1.3159/0.5605/0.7555, | CycMeas total/iv/gm=0.2960/0.1252/0.1707, | PriorBnd post/prior=2.04e-03/1.98e-03 | Best 0.1209 | Patience 9/100
