[log] tee initialized at 2025-11-28 15:09:52 -> temp_Unidi_cvae_14param_2channel\cvae_20251128-150952\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Unidi_cvae_14param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Unidi_cvae_14param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 001 | Train Total=9.3393 | Val post/prior Total=10.3637/9.3872, Recon post/prior=0.8975/0.8829, KL=2.1149, | CycSim post total/iv/gm=0.8405/0.2405/0.5999, | CycSim prior total/iv/gm=0.8500/0.2433/0.6068, | CycMeas total/iv/gm=0.2777/0.0902/0.1875, | PriorBnd post/prior=1.05e-04/1.04e-05 | Best inf | Patience 1/80
[Update] best val_cyc_meas improved to 0.277732 @ epoch 1
 >> Epoch 002 | Train Total=4.8388 | Val post/prior Total=9.1076/8.3941, Recon post/prior=0.9010/0.8919, KL=1.1532, | CycSim post total/iv/gm=0.7625/0.2169/0.5456, | CycSim prior total/iv/gm=0.7498/0.2137/0.5360, | CycMeas total/iv/gm=0.1968/0.0680/0.1287, | PriorBnd post/prior=3.31e-05/2.17e-05 | Best 0.2777 | Patience 1/80
[Update] best val_cyc_meas improved to 0.196750 @ epoch 2
 >> Epoch 003 | Train Total=4.2883 | Val post/prior Total=8.3749/7.8132, Recon post/prior=0.8907/0.8846, KL=0.9396, | CycSim post total/iv/gm=0.7010/0.2014/0.4995, | CycSim prior total/iv/gm=0.6924/0.1989/0.4935, | CycMeas total/iv/gm=0.1245/0.0391/0.0854, | PriorBnd post/prior=1.34e-04/1.28e-04 | Best 0.1968 | Patience 1/80
[Update] best val_cyc_meas improved to 0.124485 @ epoch 3
 >> Epoch 004 | Train Total=4.0581 | Val post/prior Total=9.0085/8.4199, Recon post/prior=0.8913/0.8866, KL=0.8021, | CycSim post total/iv/gm=0.7711/0.2174/0.5538, | CycSim prior total/iv/gm=0.7528/0.2118/0.5410, | CycMeas total/iv/gm=0.2084/0.0619/0.1465, | PriorBnd post/prior=7.08e-05/7.03e-05 | Best 0.1245 | Patience 1/80
 >> Epoch 005 | Train Total=3.8998 | Val post/prior Total=9.3231/8.5489, Recon post/prior=0.8929/0.8905, KL=1.0559, | CycSim post total/iv/gm=0.7897/0.2188/0.5709, | CycSim prior total/iv/gm=0.7652/0.2115/0.5537, | CycMeas total/iv/gm=0.2754/0.0814/0.1940, | PriorBnd post/prior=9.77e-05/1.13e-04 | Best 0.1245 | Patience 2/80
 >> Epoch 006 | Train Total=3.8239 | Val post/prior Total=8.1807/7.3862, Recon post/prior=0.8840/0.8838, KL=1.0638, | CycSim post total/iv/gm=0.6760/0.1883/0.4876, | CycSim prior total/iv/gm=0.6497/0.1807/0.4689, | CycMeas total/iv/gm=0.2225/0.0656/0.1569, | PriorBnd post/prior=4.53e-05/3.25e-05 | Best 0.1245 | Patience 3/80
 >> Epoch 007 | Train Total=3.7073 | Val post/prior Total=8.5375/7.6905, Recon post/prior=0.8832/0.8820, KL=1.1607, | CycSim post total/iv/gm=0.7069/0.1939/0.5130, | CycSim prior total/iv/gm=0.6802/0.1865/0.4937, | CycMeas total/iv/gm=0.2795/0.0820/0.1974, | PriorBnd post/prior=3.26e-05/3.19e-05 | Best 0.1245 | Patience 4/80
 >> Epoch 008 | Train Total=3.6663 | Val post/prior Total=9.2694/8.3801, Recon post/prior=0.8913/0.8926, KL=1.3213, | CycSim post total/iv/gm=0.7712/0.2117/0.5595, | CycSim prior total/iv/gm=0.7480/0.2052/0.5429, | CycMeas total/iv/gm=0.3128/0.0912/0.2217, | PriorBnd post/prior=5.41e-05/5.54e-05 | Best 0.1245 | Patience 5/80
