domain,sup_ps,prior_l2_ps,prior_bnd_ps,cyc_sim_ps,knn_min,knn_mean_k,jac_sigma_max
sim,3.5265653133392334,16.55674934387207,1.1441359519958496,0.3917548358440399,7.391075134277344,7.912771224975586,
sim,3.0682296752929688,15.512568473815918,1.0984461307525637,0.2279409319162368,6.862772464752197,7.385376930236816,
sim,3.0949008464813232,14.325679779052734,1.068605661392212,0.2638284564018249,6.594559669494629,7.096282958984375,
sim,2.879727840423584,13.780986785888672,1.066386342048645,0.3662759959697723,6.592249393463135,7.0686445236206055,
sim,2.824824571609497,13.473397254943848,1.0415712594985962,0.4306176304817199,6.561350345611572,7.048945426940918,
sim,3.1006436347961426,13.23248291015625,1.0305898189544678,0.1362593919038772,6.112839698791504,6.58693265914917,
sim,3.02433705329895,12.392008781433104,1.0242010354995728,0.3462279736995697,6.242473125457764,6.68370532989502,
sim,3.158522367477417,12.39803695678711,1.02186918258667,0.3069574534893036,6.276139259338379,6.714053153991699,
sim,2.846752643585205,12.297219276428224,1.0128848552703855,0.2856350243091583,5.954366207122803,6.426493644714356,
sim,3.179054021835327,11.807134628295898,1.0097830295562744,0.3485711216926574,6.009146213531494,6.445357799530029,30.526092529296875
sim,2.552015781402588,11.939460754394531,0.9962692260742188,0.1806767433881759,5.778089046478272,6.234696388244629,
sim,3.029214859008789,11.15129852294922,0.9819762706756592,0.4155298471450805,5.813013076782227,6.245460033416748,
sim,2.7472524642944336,10.884541511535645,0.9744564890861512,0.2711333334445953,5.8007354736328125,6.193813800811768,
sim,2.7559032440185547,10.857872009277344,0.967499017715454,0.2300760149955749,5.538166046142578,5.983248710632324,
sim,2.31952166557312,10.503246307373049,0.964680552482605,0.2446566820144653,5.687908172607422,6.046738624572754,
sim,2.840975522994995,10.716450691223145,0.9602843523025512,0.2534236311912536,5.562893390655518,5.992462158203125,
sim,2.352515459060669,10.129948616027832,0.9588798880577089,0.2362497299909591,5.742809295654297,6.138858795166016,
sim,2.657078981399536,9.83754539489746,0.956305742263794,0.260371595621109,5.623010158538818,6.050315856933594,
sim,2.442011833190918,10.203847885131836,0.9525386095046996,0.250834971666336,5.502102851867676,5.890230178833008,
sim,2.5916616916656494,9.828741073608398,0.9452332854270936,0.3247449398040771,5.315168857574463,5.709687232971191,
sim,2.4497320652008057,9.497431755065918,0.9436057806015016,0.2347455620765686,5.508496284484863,5.999480724334717,
sim,2.603947877883911,9.971440315246582,0.9418222904205322,0.2842705547809601,5.40888786315918,5.804497718811035,
sim,2.376928806304932,9.015361785888672,0.930843472480774,0.2224507927894592,5.387592792510986,5.824204444885254,
sim,2.628831148147583,9.568645477294922,0.9256094694137572,0.1397556215524673,5.131783485412598,5.530315399169922,
sim,2.676920413970948,9.527838706970217,0.9236779808998108,0.1722574383020401,5.051860809326172,5.444711685180664,
sim,2.581491708755493,8.493720054626465,0.9169367551803588,0.224216416478157,5.233422756195068,5.659722328186035,
sim,2.21573543548584,8.525044441223145,0.9162429571151732,0.207022488117218,5.238321304321289,5.71115779876709,
sim,2.1543877124786377,9.058034896850586,0.9153808951377868,0.2521465718746185,5.549245357513428,5.854935169219971,
sim,2.076821565628052,8.672502517700195,0.9146040678024292,0.2455181032419204,5.2616496086120605,5.552967071533203,33.243412017822266
sim,2.62903380393982,8.961599349975586,0.914233386516571,0.2350692301988601,5.4814133644104,5.846209526062012,
sim,2.6495721340179443,8.419793128967285,0.9125266671180724,0.2105041295289993,5.192424774169922,5.69382905960083,
sim,2.498510360717773,8.907496452331543,0.9091724157333374,0.1635201573371887,4.927547931671143,5.264277935028076,
sim,2.6046035289764404,8.609136581420898,0.9019019603729248,0.2682991921901703,5.217350482940674,5.520725727081299,
sim,2.443488836288452,8.169818878173828,0.8997911810874939,0.2092917263507843,5.189311027526856,5.471851348876953,
sim,2.6176350116729736,8.305266380310059,0.8960011601448059,0.268571674823761,5.136409759521484,5.564493656158447,
sim,2.31737756729126,7.742568969726562,0.8915815353393555,0.2234532982110977,5.030719757080078,5.4529008865356445,
sim,1.8169002532958984,7.741460800170898,0.8905396461486816,0.2265395075082779,5.053061008453369,5.438075542449951,
sim,2.565469741821289,7.923501014709473,0.8881095051765442,0.3151610791683197,4.812226295471191,5.122414588928223,
sim,2.0137009620666504,7.777090072631836,0.884674072265625,0.1704609543085098,5.02003812789917,5.460960388183594,
sim,2.551869630813598,7.736673831939697,0.8786529302597046,0.2560457289218902,4.6620192527771,4.956004142761231,
sim,2.304278612136841,7.22115421295166,0.8774226903915405,0.190812811255455,4.932301044464111,5.217700004577637,
sim,2.159885883331299,7.041117191314697,0.8674825429916382,0.2008493691682815,4.837495803833008,5.0835371017456055,
sim,1.7514243125915527,6.89077091217041,0.8667399287223816,0.1687438637018203,4.804920673370361,5.098569869995117,
sim,1.9898924827575684,7.259030818939209,0.8647706508636475,0.1843082904815673,4.542317867279053,4.892702102661133,
sim,1.6153753995895386,7.04387903213501,0.8562229871749878,0.2399219125509262,4.90428638458252,5.080101013183594,
sim,2.079375028610229,7.0992841720581055,0.8516052961349487,0.1606336832046508,4.420871257781982,4.698339462280273,
sim,1.944938063621521,6.544530868530273,0.8462530374526978,0.2156044244766235,4.828431606292725,5.082205295562744,
sim,2.104827880859375,6.300637245178223,0.8422539234161377,0.1238283663988113,4.625308990478516,4.988001823425293,
sim,2.174549102783203,6.275831699371338,0.8379753828048706,0.3114902079105377,4.454720497131348,4.635909080505371,
sim,1.9412897825241089,5.944871425628662,0.8374067544937134,0.2035453617572784,4.543212413787842,4.788199424743652,
