[log] tee initialized at 2025-11-28 16:50:23 -> temp_Unidi_cvae_14param_2channel\session_20251128-165023.log
Using CUDA device 0: NVIDIA GeForce RTX 4060 Laptop GPU
[log] tee initialized at 2025-11-28 16:50:27 -> temp_Unidi_cvae_14param_2channel\cvae_20251128-165027\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Unidi_cvae_14param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Unidi_cvae_14param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 014 | Train Total=5.7247 | Val post/prior Total=11.6248/10.9463, Recon post/prior=0.9308/0.9375, KL=1.3650, | CycSim post total/iv/gm=1.0004/0.4258/0.5746, | CycSim prior total/iv/gm=0.9996/0.4242/0.5754, | CycMeas total/iv/gm=0.5131/0.2392/0.2739, | PriorBnd post/prior=5.45e-04/6.13e-04 | Best 0.2224 | Patience 11/80
 >> Epoch 015 | Train Total=5.7952 | Val post/prior Total=11.7604/11.1696, Recon post/prior=0.9158/0.9195, KL=1.1609, | CycSim post total/iv/gm=1.0257/0.4387/0.5871, | CycSim prior total/iv/gm=1.0239/0.4369/0.5870, | CycMeas total/iv/gm=0.4298/0.1913/0.2385, | PriorBnd post/prior=5.12e-04/5.93e-04 | Best 0.2224 | Patience 12/80
 >> Epoch 016 | Train Total=5.8309 | Val post/prior Total=11.8476/11.0327, Recon post/prior=0.9326/0.9380, KL=1.5292, | CycSim post total/iv/gm=1.0143/0.4355/0.5788, | CycSim prior total/iv/gm=1.0083/0.4319/0.5764, | CycMeas total/iv/gm=0.3805/0.1668/0.2137, | PriorBnd post/prior=1.84e-03/1.84e-03 | Best 0.2224 | Patience 13/80
 >> Epoch 017 | Train Total=5.6457 | Val post/prior Total=11.5083/10.5944, Recon post/prior=0.9211/0.9253, KL=1.7430, | CycSim post total/iv/gm=0.9709/0.4135/0.5574, | CycSim prior total/iv/gm=0.9656/0.4102/0.5555, | CycMeas total/iv/gm=0.4773/0.2161/0.2612, | PriorBnd post/prior=7.87e-04/9.06e-04 | Best 0.2224 | Patience 14/80
 >> Epoch 018 | Train Total=5.6032 | Val post/prior Total=10.4248/9.7283, Recon post/prior=0.9050/0.9072, KL=1.2852, | CycSim post total/iv/gm=0.8871/0.3825/0.5046, | CycSim prior total/iv/gm=0.8810/0.3799/0.5012, | CycMeas total/iv/gm=0.3216/0.1346/0.1869, | PriorBnd post/prior=8.79e-04/9.77e-04 | Best 0.2224 | Patience 15/80
 >> Epoch 019 | Train Total=5.5705 | Val post/prior Total=11.3678/10.5356, Recon post/prior=0.9233/0.9243, KL=1.4740, | CycSim post total/iv/gm=0.9700/0.4191/0.5509, | CycSim prior total/iv/gm=0.9599/0.4141/0.5458, | CycMeas total/iv/gm=0.3684/0.1579/0.2105, | PriorBnd post/prior=1.21e-03/1.30e-03 | Best 0.2224 | Patience 16/80
 >> Epoch 020 | Train Total=5.5115 | Val post/prior Total=10.5241/9.8014, Recon post/prior=0.9021/0.9017, KL=1.3255, | CycSim post total/iv/gm=0.8953/0.3865/0.5087, | CycSim prior total/iv/gm=0.8889/0.3842/0.5047, | CycMeas total/iv/gm=0.2997/0.1254/0.1743, | PriorBnd post/prior=7.74e-04/8.47e-04 | Best 0.2224 | Patience 17/80
 >> Epoch 021 | Train Total=5.4706 | Val post/prior Total=11.1847/10.0904, Recon post/prior=0.9273/0.9292, KL=2.0485, | CycSim post total/iv/gm=0.9226/0.3938/0.5288, | CycSim prior total/iv/gm=0.9148/0.3903/0.5245, | CycMeas total/iv/gm=0.3814/0.1639/0.2176, | PriorBnd post/prior=1.00e-03/1.09e-03 | Best 0.2224 | Patience 18/80
 >> Epoch 022 | Train Total=5.4255 | Val post/prior Total=11.1803/10.0157, Recon post/prior=0.9408/0.9435, KL=2.1751, | CycSim post total/iv/gm=0.9144/0.3897/0.5247, | CycSim prior total/iv/gm=0.9060/0.3853/0.5206, | CycMeas total/iv/gm=0.2965/0.1228/0.1737, | PriorBnd post/prior=1.31e-03/1.32e-03 | Best 0.2224 | Patience 19/80
 >> Epoch 023 | Train Total=5.3549 | Val post/prior Total=11.2732/10.2682, Recon post/prior=0.9192/0.9202, KL=1.8689, | CycSim post total/iv/gm=0.9412/0.4045/0.5368, | CycSim prior total/iv/gm=0.9337/0.4009/0.5328, | CycMeas total/iv/gm=0.2125/0.0852/0.1273, | PriorBnd post/prior=9.22e-04/8.83e-04 | Best 0.2224 | Patience 20/80
[Update] best val_cyc_meas improved to 0.212485 @ epoch 23
 >> Epoch 024 | Train Total=5.4580 | Val post/prior Total=12.8746/12.0494, Recon post/prior=0.9277/0.9291, KL=1.4277, | CycSim post total/iv/gm=1.1226/0.4794/0.6431, | CycSim prior total/iv/gm=1.1110/0.4751/0.6359, | CycMeas total/iv/gm=0.1939/0.0760/0.1179, | PriorBnd post/prior=1.13e-03/1.20e-03 | Best 0.2125 | Patience 1/80
[Update] best val_cyc_meas improved to 0.193913 @ epoch 24
 >> Epoch 025 | Train Total=5.5702 | Val post/prior Total=12.1060/10.9618, Recon post/prior=0.9454/0.9466, KL=2.0117, | CycSim post total/iv/gm=1.0147/0.4326/0.5820, | CycSim prior total/iv/gm=1.0002/0.4264/0.5738, | CycMeas total/iv/gm=0.3198/0.1354/0.1844, | PriorBnd post/prior=1.44e-03/1.40e-03 | Best 0.1939 | Patience 1/80
