domain,sup_ps,prior_l2_ps,prior_bnd_ps,cyc_sim_ps,knn_min,knn_mean_k,jac_sigma_max,proxy_floor_ps
sim,0.4631540179252624,0.8681973814964294,5.4508447647094727e-05,0.0661476850509643,1.0136163234710691,1.4891891479492188,,0.0351430214941501
sim,0.709993302822113,0.3618448078632355,0.0,0.0106549002230167,0.9705051183700562,1.244104504585266,68.77400970458984,0.0174326654523611
sim,1.274074912071228,0.4434530735015869,0.0,0.0109080281108617,0.9737777709960938,1.1419212818145752,9.38127613067627,0.0072107654996216
sim,0.5315070748329163,0.4121973514556885,0.0,0.0045949863269925,0.8015525937080383,1.142068862915039,39.72237014770508,0.0026407327968627
sim,0.7238658666610718,0.3711632788181305,0.0,0.0286302100867033,1.1025595664978027,1.322001814842224,40.56343078613281,0.0154112875461578
sim,0.5631795525550842,0.3985028862953186,0.0,0.0190725624561309,0.6439080238342285,1.1165564060211182,,0.013635229319334
sim,0.5939592719078064,0.5178099870681763,0.0,0.0089282309636473,0.8744543194770813,1.1712161302566528,22.87964630126953,0.0074825803749263
sim,0.5966206789016724,0.3406288921833038,0.0,0.0204521398991346,1.2225443124771118,1.4589192867279053,,0.0177494585514068
sim,0.9630333781242372,0.4337083399295807,0.0,0.0037279417738318,0.955132782459259,1.1641473770141602,,0.0022824571933597
sim,0.6917980313301086,0.6157040596008301,0.0,0.0206699706614017,1.045975923538208,1.338877558708191,34.00300216674805,0.0096156159415841
meas,,1.1632111072540283,0.0,0.1089759245514869,1.141261100769043,1.3775012493133545,,0.0096655935049057
sim,0.5689659118652344,0.5303962826728821,0.0,0.0060112937353551,0.878280758857727,1.1957926750183103,40.35224533081055,0.0083751892670989
sim,0.3088627755641937,0.4398711025714874,0.0,0.0168235264718532,1.2663308382034302,1.4605252742767334,,0.0120587320998311
sim,0.7812768816947937,0.5733693242073059,0.0,0.0221118666231632,0.788152813911438,1.2090795040130615,,0.0105080148205161
sim,0.6182876825332642,0.459291398525238,0.0,0.0166738480329513,1.1478049755096436,1.341048240661621,,0.0088654002174735
sim,0.8043842315673828,0.3675326108932495,0.0,0.0511569455265998,0.8634113073348999,1.2586591243743896,,0.0202175639569759
sim,0.5283403992652893,0.3499913215637207,0.0,0.0074417502619326,0.9178261756896972,1.1459736824035645,,0.0039785229600965
sim,1.0058668851852417,0.4469662308692932,0.0,0.0123665779829025,0.9722644686698914,1.141160011291504,,0.0093816956505179
sim,0.9791407585144044,0.5581030249595642,0.0,0.0078906118869781,0.7607832551002502,1.2480154037475586,,0.0041371253319084
sim,1.3045066595077517,0.2958618104457855,0.0,0.0231884811073541,1.148366093635559,1.2850892543792725,,0.0156225217506289
sim,0.7181570529937744,0.6634591817855835,0.0,0.0288960337638854,1.219960331916809,1.4372888803482056,,0.0200480353087186
sim,0.957389235496521,0.4194124937057495,0.0,0.0096990084275603,0.8501028418540955,1.257893204689026,,0.0062050404958426
sim,1.1410150527954102,0.4550856053829193,0.0,0.0151435667648911,1.1011459827423096,1.3144280910491943,,0.0117866285145282
sim,0.8237859606742859,0.2674666345119476,0.0,0.0185810457915067,1.2130206823349,1.30517315864563,,0.0198756344616413
sim,0.8094365000724792,0.7119269967079163,0.0,0.017927037551999,0.9250506162643432,1.228879451751709,,0.0086009381338953
sim,0.5679835677146912,0.3689890801906585,0.0,0.0307651404291391,1.0295636653900146,1.2394651174545288,,0.014155869372189
