[log] tee initialized at 2025-11-06 13:02:22 -> temp_Bidi_cvae\session_20251106-130222.log
Using CUDA device 0: NVIDIA GeForce RTX 4060 Laptop GPU
[log] tee initialized at 2025-11-06 13:02:27 -> temp_Bidi_cvae\cvae_20251106-130227\train.log
[L_trust] using 20000 ref rows from temp_Bidi_cvae/proxy\proxy_Ytr_norm.npy
 >> Epoch 020 | Train Total=0.7028 | Val post/prior Total=0.7487/0.7743, Recon post/prior=0.6415/0.6338, KL=0.1065, CycSim post/prior=0.0740/0.0484, CycMeas=0.0986, PriorBnd post/prior=9.76e-04/1.24e-04 | Best 0.1000 | Patience 1/40
[Update] best val_cyc_meas improved to 0.098648 @ epoch 20
 >> Epoch 021 | Train Total=0.7003 | Val post/prior Total=0.7423/0.7736, Recon post/prior=0.6377/0.6323, KL=0.1444, CycSim post/prior=0.0716/0.0444, CycMeas=0.1057, PriorBnd post/prior=6.38e-04/9.12e-05 | Best 0.0986 | Patience 1/40
 >> Epoch 022 | Train Total=0.6976 | Val post/prior Total=0.7317/0.7759, Recon post/prior=0.6372/0.6330, KL=0.0526, CycSim post/prior=0.0715/0.0499, CycMeas=0.0997, PriorBnd post/prior=3.36e-04/1.01e-04 | Best 0.0986 | Patience 2/40
 >> Epoch 023 | Train Total=0.6955 | Val post/prior Total=0.7365/0.7814, Recon post/prior=0.6345/0.6302, KL=0.0652, CycSim post/prior=0.0769/0.0524, CycMeas=0.1063, PriorBnd post/prior=2.41e-04/6.86e-05 | Best 0.0986 | Patience 3/40
 >> Epoch 024 | Train Total=0.6927 | Val post/prior Total=0.7301/0.7780, Recon post/prior=0.6338/0.6300, KL=0.0388, CycSim post/prior=0.0743/0.0515, CycMeas=0.1037, PriorBnd post/prior=1.88e-04/7.28e-05 | Best 0.0986 | Patience 4/40
 >> Epoch 025 | Train Total=0.6919 | Val post/prior Total=0.7265/0.7682, Recon post/prior=0.6299/0.6253, KL=0.0671, CycSim post/prior=0.0720/0.0472, CycMeas=0.1035, PriorBnd post/prior=3.34e-04/7.86e-05 | Best 0.0986 | Patience 5/40
 >> Epoch 026 | Train Total=0.6914 | Val post/prior Total=0.7209/0.7604, Recon post/prior=0.6271/0.6225, KL=0.0762, CycSim post/prior=0.0687/0.0453, CycMeas=0.1001, PriorBnd post/prior=3.76e-04/8.78e-05 | Best 0.0986 | Patience 6/40
 >> Epoch 027 | Train Total=0.6903 | Val post/prior Total=0.7225/0.7740, Recon post/prior=0.6313/0.6284, KL=0.0379, CycSim post/prior=0.0702/0.0511, CycMeas=0.1012, PriorBnd post/prior=1.29e-04/6.92e-05 | Best 0.0986 | Patience 7/40
 >> Epoch 028 | Train Total=0.6887 | Val post/prior Total=0.7123/0.7503, Recon post/prior=0.6213/0.6160, KL=0.0570, CycSim post/prior=0.0677/0.0421, CycMeas=0.1002, PriorBnd post/prior=5.29e-04/1.00e-04 | Best 0.0986 | Patience 8/40
 >> Epoch 029 | Train Total=0.6873 | Val post/prior Total=0.7088/0.7525, Recon post/prior=0.6190/0.6148, KL=0.0481, CycSim post/prior=0.0678/0.0446, CycMeas=0.1005, PriorBnd post/prior=1.74e-04/9.25e-05 | Best 0.0986 | Patience 9/40
 >> Epoch 030 | Train Total=0.6853 | Val post/prior Total=0.7052/0.7491, Recon post/prior=0.6170/0.6123, KL=0.0502, CycSim post/prior=0.0662/0.0418, CycMeas=0.1037, PriorBnd post/prior=2.40e-04/9.58e-05 | Best 0.0986 | Patience 10/40
 >> Epoch 031 | Train Total=0.6843 | Val post/prior Total=0.7017/0.7452, Recon post/prior=0.6164/0.6114, KL=0.0439, CycSim post/prior=0.0642/0.0421, CycMeas=0.0994, PriorBnd post/prior=3.43e-04/8.93e-05 | Best 0.0986 | Patience 11/40
 >> Epoch 032 | Train Total=0.6824 | Val post/prior Total=0.7030/0.7510, Recon post/prior=0.6162/0.6124, KL=0.0425, CycSim post/prior=0.0658/0.0454, CycMeas=0.1005, PriorBnd post/prior=1.65e-04/8.92e-05 | Best 0.0986 | Patience 12/40
 >> Epoch 033 | Train Total=0.6818 | Val post/prior Total=0.7204/0.7810, Recon post/prior=0.6266/0.6243, KL=0.0561, CycSim post/prior=0.0707/0.0557, CycMeas=0.1080, PriorBnd post/prior=1.26e-04/9.32e-05 | Best 0.0986 | Patience 13/40
 >> Epoch 034 | Train Total=0.6813 | Val post/prior Total=0.6953/0.7380, Recon post/prior=0.6115/0.6066, KL=0.0394, CycSim post/prior=0.0635/0.0398, CycMeas=0.0997, PriorBnd post/prior=2.24e-04/9.68e-05 | Best 0.0986 | Patience 14/40
 >> Epoch 035 | Train Total=0.6818 | Val post/prior Total=0.6959/0.7388, Recon post/prior=0.6103/0.6056, KL=0.0371, CycSim post/prior=0.0651/0.0418, CycMeas=0.0990, PriorBnd post/prior=2.82e-04/9.73e-05 | Best 0.0986 | Patience 15/40
 >> Epoch 036 | Train Total=0.6812 | Val post/prior Total=0.6948/0.7410, Recon post/prior=0.6102/0.6061, KL=0.0373, CycSim post/prior=0.0642/0.0427, CycMeas=0.0999, PriorBnd post/prior=3.57e-04/9.90e-05 | Best 0.0986 | Patience 16/40
 >> Epoch 037 | Train Total=0.6811 | Val post/prior Total=0.6943/0.7394, Recon post/prior=0.6083/0.6038, KL=0.0368, CycSim post/prior=0.0654/0.0436, CycMeas=0.0994, PriorBnd post/prior=2.66e-04/1.02e-04 | Best 0.0986 | Patience 17/40
 >> Epoch 038 | Train Total=0.6802 | Val post/prior Total=0.6865/0.7333, Recon post/prior=0.6069/0.6027, KL=0.0318, CycSim post/prior=0.0605/0.0392, CycMeas=0.0997, PriorBnd post/prior=1.17e-04/9.70e-05 | Best 0.0986 | Patience 18/40
 >> Epoch 039 | Train Total=0.6788 | Val post/prior Total=0.6883/0.7376, Recon post/prior=0.6052/0.6006, KL=0.0366, CycSim post/prior=0.0630/0.0421, CycMeas=0.1032, PriorBnd post/prior=2.83e-04/9.94e-05 | Best 0.0986 | Patience 19/40
 >> Epoch 040 | Train Total=0.6781 | Val post/prior Total=0.6905/0.7382, Recon post/prior=0.6073/0.6035, KL=0.0300, CycSim post/prior=0.0638/0.0427, CycMeas=0.0996, PriorBnd post/prior=1.43e-04/8.92e-05 | Best 0.0986 | Patience 20/40
 >> Epoch 041 | Train Total=0.6782 | Val post/prior Total=0.6887/0.7351, Recon post/prior=0.6040/0.6003, KL=0.0332, CycSim post/prior=0.0647/0.0405, CycMeas=0.1029, PriorBnd post/prior=2.12e-04/9.38e-05 | Best 0.0986 | Patience 21/40
 >> Epoch 042 | Train Total=0.6783 | Val post/prior Total=0.6855/0.7343, Recon post/prior=0.6042/0.6000, KL=0.0313, CycSim post/prior=0.0621/0.0424, CycMeas=0.0995, PriorBnd post/prior=1.99e-04/9.34e-05 | Best 0.0986 | Patience 22/40
 >> Epoch 043 | Train Total=0.6781 | Val post/prior Total=0.6814/0.7313, Recon post/prior=0.6028/0.5990, KL=0.0292, CycSim post/prior=0.0600/0.0388, CycMeas=0.1022, PriorBnd post/prior=1.41e-04/9.03e-05 | Best 0.0986 | Patience 23/40
 >> Epoch 044 | Train Total=0.6788 | Val post/prior Total=0.6895/0.7410, Recon post/prior=0.6066/0.6027, KL=0.0262, CycSim post/prior=0.0640/0.0464, CycMeas=0.0987, PriorBnd post/prior=1.34e-04/9.07e-05 | Best 0.0986 | Patience 24/40
 >> Epoch 045 | Train Total=0.6775 | Val post/prior Total=0.6812/0.7302, Recon post/prior=0.6007/0.5968, KL=0.0317, CycSim post/prior=0.0613/0.0406, CycMeas=0.1011, PriorBnd post/prior=1.43e-04/1.03e-04 | Best 0.0986 | Patience 25/40
 >> Epoch 046 | Train Total=0.6779 | Val post/prior Total=0.6749/0.7284, Recon post/prior=0.5995/0.5958, KL=0.0294, CycSim post/prior=0.0571/0.0402, CycMeas=0.1005, PriorBnd post/prior=2.18e-04/9.45e-05 | Best 0.0986 | Patience 26/40
 >> Epoch 047 | Train Total=0.6760 | Val post/prior Total=0.6756/0.7274, Recon post/prior=0.5990/0.5949, KL=0.0295, CycSim post/prior=0.0581/0.0398, CycMeas=0.1010, PriorBnd post/prior=2.12e-04/9.49e-05 | Best 0.0986 | Patience 27/40
 >> Epoch 048 | Train Total=0.6778 | Val post/prior Total=0.6806/0.7270, Recon post/prior=0.5994/0.5950, KL=0.0291, CycSim post/prior=0.0622/0.0405, CycMeas=0.0996, PriorBnd post/prior=1.04e-04/9.12e-05 | Best 0.0986 | Patience 28/40
 >> Epoch 049 | Train Total=0.6766 | Val post/prior Total=0.6790/0.7245, Recon post/prior=0.5973/0.5929, KL=0.0275, CycSim post/prior=0.0626/0.0406, CycMeas=0.0988, PriorBnd post/prior=1.90e-04/1.06e-04 | Best 0.0986 | Patience 29/40
 >> Epoch 050 | Train Total=0.6778 | Val post/prior Total=0.6886/0.7443, Recon post/prior=0.6046/0.6015, KL=0.0239, CycSim post/prior=0.0650/0.0486, CycMeas=0.1011, PriorBnd post/prior=2.43e-04/7.96e-05 | Best 0.0986 | Patience 30/40
 >> Epoch 051 | Train Total=0.6796 | Val post/prior Total=0.6798/0.7288, Recon post/prior=0.5971/0.5931, KL=0.0293, CycSim post/prior=0.0633/0.0425, CycMeas=0.1010, PriorBnd post/prior=1.58e-04/1.01e-04 | Best 0.0986 | Patience 31/40
 >> Epoch 052 | Train Total=0.6780 | Val post/prior Total=0.6736/0.7209, Recon post/prior=0.5947/0.5898, KL=0.0292, CycSim post/prior=0.0602/0.0391, CycMeas=0.1003, PriorBnd post/prior=1.41e-04/1.08e-04 | Best 0.0986 | Patience 32/40
 >> Epoch 053 | Train Total=0.6781 | Val post/prior Total=0.6727/0.7183, Recon post/prior=0.5934/0.5890, KL=0.0285, CycSim post/prior=0.0606/0.0391, CycMeas=0.0979, PriorBnd post/prior=1.46e-04/1.09e-04 | Best 0.0986 | Patience 33/40
[Update] best val_cyc_meas improved to 0.097946 @ epoch 53
 >> Epoch 054 | Train Total=0.6792 | Val post/prior Total=0.6712/0.7215, Recon post/prior=0.5930/0.5883, KL=0.0280, CycSim post/prior=0.0596/0.0371, CycMeas=0.1058, PriorBnd post/prior=1.64e-04/1.07e-04 | Best 0.0979 | Patience 1/40
 >> Epoch 055 | Train Total=0.6778 | Val post/prior Total=0.6727/0.7218, Recon post/prior=0.5943/0.5899, KL=0.0247, CycSim post/prior=0.0601/0.0406, CycMeas=0.0992, PriorBnd post/prior=1.59e-04/1.01e-04 | Best 0.0979 | Patience 2/40
 >> Epoch 056 | Train Total=0.6790 | Val post/prior Total=0.6728/0.7242, Recon post/prior=0.5951/0.5918, KL=0.0272, CycSim post/prior=0.0594/0.0410, CycMeas=0.0992, PriorBnd post/prior=9.87e-05/8.96e-05 | Best 0.0979 | Patience 3/40
 >> Epoch 057 | Train Total=0.6801 | Val post/prior Total=0.6747/0.7249, Recon post/prior=0.5946/0.5910, KL=0.0269, CycSim post/prior=0.0614/0.0410, CycMeas=0.1011, PriorBnd post/prior=1.84e-04/1.05e-04 | Best 0.0979 | Patience 4/40
 >> Epoch 058 | Train Total=0.6801 | Val post/prior Total=0.6681/0.7165, Recon post/prior=0.5921/0.5878, KL=0.0247, CycSim post/prior=0.0580/0.0382, CycMeas=0.0986, PriorBnd post/prior=2.31e-04/1.14e-04 | Best 0.0979 | Patience 5/40
 >> Epoch 059 | Train Total=0.6804 | Val post/prior Total=0.6720/0.7213, Recon post/prior=0.5938/0.5900, KL=0.0231, CycSim post/prior=0.0602/0.0402, CycMeas=0.0991, PriorBnd post/prior=1.37e-04/1.01e-04 | Best 0.0979 | Patience 6/40
 >> Epoch 060 | Train Total=0.6810 | Val post/prior Total=0.6679/0.7180, Recon post/prior=0.5931/0.5891, KL=0.0260, CycSim post/prior=0.0569/0.0382, CycMeas=0.0989, PriorBnd post/prior=2.62e-04/9.79e-05 | Best 0.0979 | Patience 7/40
 >> Epoch 061 | Train Total=0.6825 | Val post/prior Total=0.6670/0.7190, Recon post/prior=0.5926/0.5895, KL=0.0243, CycSim post/prior=0.0569/0.0389, CycMeas=0.0987, PriorBnd post/prior=1.25e-04/9.60e-05 | Best 0.0979 | Patience 8/40
 >> Epoch 062 | Train Total=0.6811 | Val post/prior Total=0.6729/0.7213, Recon post/prior=0.5935/0.5896, KL=0.0255, CycSim post/prior=0.0609/0.0414, CycMeas=0.0978, PriorBnd post/prior=2.04e-04/9.78e-05 | Best 0.0979 | Patience 9/40
[Update] best val_cyc_meas improved to 0.097756 @ epoch 62
 >> Epoch 063 | Train Total=0.6810 | Val post/prior Total=0.6671/0.7177, Recon post/prior=0.5918/0.5882, KL=0.0259, CycSim post/prior=0.0574/0.0380, CycMeas=0.0999, PriorBnd post/prior=1.76e-04/1.01e-04 | Best 0.0978 | Patience 1/40
 >> Epoch 064 | Train Total=0.6812 | Val post/prior Total=0.6643/0.7138, Recon post/prior=0.5900/0.5859, KL=0.0245, CycSim post/prior=0.0567/0.0372, CycMeas=0.0989, PriorBnd post/prior=1.96e-04/1.10e-04 | Best 0.0978 | Patience 2/40
 >> Epoch 065 | Train Total=0.6839 | Val post/prior Total=0.6662/0.7167, Recon post/prior=0.5917/0.5876, KL=0.0264, CycSim post/prior=0.0567/0.0379, CycMeas=0.0997, PriorBnd post/prior=1.42e-04/1.01e-04 | Best 0.0978 | Patience 3/40
 >> Epoch 066 | Train Total=0.6818 | Val post/prior Total=0.6655/0.7163, Recon post/prior=0.5912/0.5872, KL=0.0241, CycSim post/prior=0.0567/0.0383, CycMeas=0.0989, PriorBnd post/prior=1.25e-04/1.03e-04 | Best 0.0978 | Patience 4/40
 >> Epoch 067 | Train Total=0.6828 | Val post/prior Total=0.6750/0.7255, Recon post/prior=0.5947/0.5910, KL=0.0244, CycSim post/prior=0.0619/0.0433, CycMeas=0.0985, PriorBnd post/prior=1.05e-04/1.00e-04 | Best 0.0978 | Patience 5/40
 >> Epoch 068 | Train Total=0.6858 | Val post/prior Total=0.6683/0.7230, Recon post/prior=0.5930/0.5901, KL=0.0224, CycSim post/prior=0.0578/0.0420, CycMeas=0.0983, PriorBnd post/prior=1.06e-04/9.06e-05 | Best 0.0978 | Patience 6/40
 >> Epoch 069 | Train Total=0.6851 | Val post/prior Total=0.6670/0.7130, Recon post/prior=0.5893/0.5849, KL=0.0253, CycSim post/prior=0.0594/0.0379, CycMeas=0.0983, PriorBnd post/prior=1.85e-04/1.09e-04 | Best 0.0978 | Patience 7/40
 >> Epoch 070 | Train Total=0.6862 | Val post/prior Total=0.6654/0.7167, Recon post/prior=0.5902/0.5867, KL=0.0247, CycSim post/prior=0.0575/0.0384, CycMeas=0.1000, PriorBnd post/prior=1.13e-04/1.06e-04 | Best 0.0978 | Patience 8/40
 >> Epoch 071 | Train Total=0.6855 | Val post/prior Total=0.6663/0.7116, Recon post/prior=0.5886/0.5840, KL=0.0240, CycSim post/prior=0.0594/0.0369, CycMeas=0.0991, PriorBnd post/prior=2.55e-04/1.12e-04 | Best 0.0978 | Patience 9/40
 >> Epoch 072 | Train Total=0.6872 | Val post/prior Total=0.6654/0.7114, Recon post/prior=0.5879/0.5830, KL=0.0253, CycSim post/prior=0.0592/0.0377, CycMeas=0.0988, PriorBnd post/prior=2.09e-04/1.19e-04 | Best 0.0978 | Patience 10/40
 >> Epoch 073 | Train Total=0.6875 | Val post/prior Total=0.6658/0.7139, Recon post/prior=0.5896/0.5855, KL=0.0226, CycSim post/prior=0.0585/0.0382, CycMeas=0.0983, PriorBnd post/prior=1.03e-04/1.02e-04 | Best 0.0978 | Patience 11/40
 >> Epoch 074 | Train Total=0.6893 | Val post/prior Total=0.6648/0.7127, Recon post/prior=0.5895/0.5852, KL=0.0222, CycSim post/prior=0.0577/0.0374, CycMeas=0.0983, PriorBnd post/prior=1.54e-04/1.16e-04 | Best 0.0978 | Patience 12/40
 >> Epoch 075 | Train Total=0.6887 | Val post/prior Total=0.6637/0.7127, Recon post/prior=0.5896/0.5856, KL=0.0247, CycSim post/prior=0.0565/0.0373, CycMeas=0.0980, PriorBnd post/prior=1.50e-04/1.07e-04 | Best 0.0978 | Patience 13/40
 >> Epoch 076 | Train Total=0.6903 | Val post/prior Total=0.6637/0.7106, Recon post/prior=0.5874/0.5829, KL=0.0267, CycSim post/prior=0.0581/0.0363, CycMeas=0.1002, PriorBnd post/prior=2.23e-04/1.14e-04 | Best 0.0978 | Patience 14/40
